Class,Label,Cluster,Most_Similar_Image_Path,Key_Words,Info
Monuments,Charar-E- Sharif,1,../Image Data/Monuments/train/Charar-E- Sharif/63 - Copy.jpg,"kashmir, Charar-E- Sharif, sufi shrine, muslim pilgrimage, wooden architecture, islamic heritage, sufi saints, religious harmony, historical monument, religious tolerance, cultural icon, spiritual site, muslim architecture, sufi culture, sufi tradition, sufi music, sufi poetry, sufi mysticism, sufi teachings, sufi practices, sufi rituals","Charar-e-Sharief (also spelled Charar-i-Sharief, Charari Sharief, Chrari-Sharif, etc.) is a Sufi Muslim shrine and mosque situated in the town of Charari Sharief in Budgam district of Jammu and Kashmir union territory, India."
Monuments,Charar-E- Sharif,3,../Image Data/Monuments/train/Charar-E- Sharif/16.jpg,"kashmir, Charar-E- Sharif, sufi shrine, muslim pilgrimage, wooden architecture, islamic heritage, sufi saints, religious harmony, historical monument, religious tolerance, cultural icon, spiritual site, muslim architecture, sufi culture, sufi tradition, sufi music, sufi poetry, sufi mysticism, sufi teachings, sufi practices, sufi rituals","Charar-e-Sharief (also spelled Charar-i-Sharief, Charari Sharief, Chrari-Sharif, etc.) is a Sufi Muslim shrine and mosque situated in the town of Charari Sharief in Budgam district of Jammu and Kashmir union territory, India."
Monuments,Charar-E- Sharif,0,../Image Data/Monuments/train/Charar-E- Sharif/77 - Copy.jpg,"kashmir, Charar-E- Sharif,sufi shrine, muslim pilgrimage, wooden architecture, islamic heritage, sufi saints, religious harmony, historical monument, religious tolerance, cultural icon, spiritual site, muslim architecture, sufi culture, sufi tradition, sufi music, sufi poetry, sufi mysticism, sufi teachings, sufi practices, sufi rituals","Charar-e-Sharief (also spelled Charar-i-Sharief, Charari Sharief, Chrari-Sharif, etc.) is a Sufi Muslim shrine and mosque situated in the town of Charari Sharief in Budgam district of Jammu and Kashmir union territory, India."
Monuments,Charar-E- Sharif,2,../Image Data/Monuments/train/Charar-E- Sharif/74.jpg,"kashmir, Charar-E- Sharif, sufi shrine, muslim pilgrimage, wooden architecture, islamic heritage, sufi saints, religious harmony, historical monument, religious tolerance, cultural icon, spiritual site, muslim architecture, sufi culture, sufi tradition, sufi music, sufi poetry, sufi mysticism, sufi teachings, sufi practices, sufi rituals","Charar-e-Sharief (also spelled Charar-i-Sharief, Charari Sharief, Chrari-Sharif, etc.) is a Sufi Muslim shrine and mosque situated in the town of Charari Sharief in Budgam district of Jammu and Kashmir union territory, India."
Monuments,basilica_of_bom_jesus,0,../Image Data/Monuments/train/basilica_of_bom_jesus/16.jpg,"goa, basilica_of_bom_jesus, roman catholic basilica, baroque architecture, unesco world heritage site, st. francis xavier, relics, sacred art, jesuit church, indian christianity, spiritual site, portuguese india, 17th century, pilgrimage site, religious monument, architectural grandeur, cultural intermix, heritage preservation, western ghats, tourism landmark, ecclesiastical history","The Basilica of Bom Jesus (Portuguese: Basílica do Bom Jesus; Konkani: Borea Jezuchi Bajilika) is a Catholic basilica located in Goa, in the Konkan region of India. The iconic church is a pilgrimage centre and recognised by UNESCO as a World Heritage Site"
Monuments,basilica_of_bom_jesus,1,../Image Data/Monuments/train/basilica_of_bom_jesus/21.jpg,"goa, basilica_of_bom_jesus, roman catholic basilica, baroque architecture, unesco world heritage site, st. francis xavier, relics, sacred art, jesuit church, indian christianity, spiritual site, portuguese india, 17th century, pilgrimage site, religious monument, architectural grandeur, cultural intermix, heritage preservation, western ghats, tourism landmark, ecclesiastical history","The Basilica of Bom Jesus (Portuguese: Basílica do Bom Jesus; Konkani: Borea Jezuchi Bajilika) is a Catholic basilica located in Goa, in the Konkan region of India. The iconic church is a pilgrimage centre and recognised by UNESCO as a World Heritage Site"
Monuments,basilica_of_bom_jesus,3,../Image Data/Monuments/train/basilica_of_bom_jesus/43.jpg,"goa, basilica_of_bom_jesus, roman catholic basilica, baroque architecture, unesco world heritage site, st. francis xavier, relics, sacred art, jesuit church, indian christianity, spiritual site, portuguese india, 17th century, pilgrimage site, religious monument, architectural grandeur, cultural intermix, heritage preservation, western ghats, tourism landmark, ecclesiastical history","The Basilica of Bom Jesus (Portuguese: Basílica do Bom Jesus; Konkani: Borea Jezuchi Bajilika) is a Catholic basilica located in Goa, in the Konkan region of India. The iconic church is a pilgrimage centre and recognised by UNESCO as a World Heritage Site"
Monuments,basilica_of_bom_jesus,2,../Image Data/Monuments/train/basilica_of_bom_jesus/8.jpg,"goa, basilica_of_bom_jesus, roman catholic basilica, baroque architecture, unesco world heritage site, st. francis xavier, relics, sacred art, jesuit church, indian christianity, spiritual site, portuguese india, 17th century, pilgrimage site, religious monument, architectural grandeur, cultural intermix, heritage preservation, western ghats, tourism landmark, ecclesiastical history","The Basilica of Bom Jesus (Portuguese: Basílica do Bom Jesus; Konkani: Borea Jezuchi Bajilika) is a Catholic basilica located in Goa, in the Konkan region of India. The iconic church is a pilgrimage centre and recognised by UNESCO as a World Heritage Site"
Monuments,victoria memorial,0,../Image Data/Monuments/train/victoria memorial/185.jpg,"Kolkata, victoria memorial, british raj, queen victoria, memorial museum, british architecture, historical landmark, colonial heritage, victorian era, british monarchy, royal memorial, british empire, historical monument, landmark structure, indian history, colonial legacy, british rule, indian heritage, historical site, cultural symbol, victorian art","The Victoria Memorial is a large marble monument on the Maidan in Central Kolkata, having its entrance on the Queen's Way. It was built between 1906 and 1921 by the Government of India. It is dedicated to the memory of Queen Victoria, the Empress of India from 1876 to 1901"
Monuments,victoria memorial,2,../Image Data/Monuments/train/victoria memorial/167.jpg,"Kolkata, victoria memorial, british raj, queen victoria, memorial museum, british architecture, historical landmark, colonial heritage, victorian era, british monarchy, royal memorial, british empire, historical monument, landmark structure, indian history, colonial legacy, british rule, indian heritage, historical site, cultural symbol, victorian art","The Victoria Memorial is a large marble monument on the Maidan in Central Kolkata, having its entrance on the Queen's Way. It was built between 1906 and 1921 by the Government of India. It is dedicated to the memory of Queen Victoria, the Empress of India from 1876 to 1901"
