Image_Path,Cluster_Label
../Image Data/Monuments/train/Ajanta Caves/(24).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(73).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(65).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(32).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(49).jpg,0
../Image Data/Monuments/train/Ajanta Caves/(9).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(28).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(90).jpg,0
../Image Data/Monuments/train/Ajanta Caves/(69).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(86).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(45).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(12).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(53).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(5).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(52).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(4).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(13).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(44).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(68).jpg,0
../Image Data/Monuments/train/Ajanta Caves/(87).jpg,0
../Image Data/Monuments/train/Ajanta Caves/(91).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(29).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(8).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(48).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(33).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(64).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(72).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(25).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(79).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(96).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(80).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(38).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(43).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(14).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(3).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(55).jpg,0
../Image Data/Monuments/train/Ajanta Caves/(22).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(75).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(63).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(34).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(18).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(59).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(58).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(19).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(35).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(62).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(74).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(23).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(2).jpg,2
../Image Data/Monuments/train/Ajanta Caves/(54).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(15).jpg,1
../Image Data/Monuments/train/Ajanta Caves/(42).jpg,3
../Image Data/Monuments/train/Ajanta Caves/(39).jpg,3
