Image_Path,Cluster_Label
../Image Data/Monuments/train/Charar-E- Sharif/63.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/16 - Copy.jpg,3
../Image Data/Monuments/train/Charar-E- Sharif/77.jpg,0
../Image Data/Monuments/train/Charar-E- Sharif/21 - Copy.jpg,0
../Image Data/Monuments/train/Charar-E- Sharif/74 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/43 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/68 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/5 - Copy.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/76.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/62.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/74.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/60.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/48.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/79 - Copy.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/8 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/52 - Copy.jpg,0
../Image Data/Monuments/train/Charar-E- Sharif/65 - Copy.jpg,3
../Image Data/Monuments/train/Charar-E- Sharif/30 - Copy.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/49.jpg,0
../Image Data/Monuments/train/Charar-E- Sharif/61.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/75.jpg,3
../Image Data/Monuments/train/Charar-E- Sharif/59.jpg,3
../Image Data/Monuments/train/Charar-E- Sharif/71.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/65.jpg,3
../Image Data/Monuments/train/Charar-E- Sharif/29 - Copy.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/83 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/60 - Copy.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/57 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/35 - Copy.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/64.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/70.jpg,1
../Image Data/Monuments/train/Charar-E- Sharif/58.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/8.jpg,2
../Image Data/Monuments/train/Charar-E- Sharif/66.jpg,2
