Image_Path,Cluster_Label
../Image Data/Monuments/train/Chhota_Imambara/img22.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img36.jpg,3
../Image Data/Monuments/train/Chhota_Imambara/img23.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img11 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img26 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img44 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img55 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img35.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img21.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img2 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img49 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img20.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img34.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img30.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img24.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img7 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img18.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img50 - Copy.jpg,1
../Image Data/Monuments/train/Chhota_Imambara/img32 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img19.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img25.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img31.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img19 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img27.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img33.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img23 - Copy.jpg,0
../Image Data/Monuments/train/Chhota_Imambara/img14 - Copy.jpg,3
../Image Data/Monuments/train/Chhota_Imambara/img41 - Copy.jpg,1
../Image Data/Monuments/train/Chhota_Imambara/img32.jpg,0
