Image_Path,Cluster_Label
../Image Data/Monuments/train/Ellora Caves/(24).jpg,2
../Image Data/Monuments/train/Ellora Caves/(73).jpg,0
../Image Data/Monuments/train/Ellora Caves/(65).jpg,2
../Image Data/Monuments/train/Ellora Caves/(32).jpg,2
../Image Data/Monuments/train/Ellora Caves/(49).jpg,3
../Image Data/Monuments/train/Ellora Caves/(9).jpg,0
../Image Data/Monuments/train/Ellora Caves/(28).jpg,0
../Image Data/Monuments/train/Ellora Caves/(90).jpg,0
../Image Data/Monuments/train/Ellora Caves/(69).jpg,3
../Image Data/Monuments/train/Ellora Caves/(86).jpg,1
../Image Data/Monuments/train/Ellora Caves/(100).jpg,2
../Image Data/Monuments/train/Ellora Caves/(45).jpg,2
../Image Data/Monuments/train/Ellora Caves/(12).jpg,3
../Image Data/Monuments/train/Ellora Caves/(53).jpg,1
../Image Data/Monuments/train/Ellora Caves/(5).jpg,2
../Image Data/Monuments/train/Ellora Caves/(52).jpg,3
../Image Data/Monuments/train/Ellora Caves/(4).jpg,1
../Image Data/Monuments/train/Ellora Caves/(13).jpg,1
../Image Data/Monuments/train/Ellora Caves/(44).jpg,3
../Image Data/Monuments/train/Ellora Caves/(101).jpg,2
../Image Data/Monuments/train/Ellora Caves/(68).jpg,3
../Image Data/Monuments/train/Ellora Caves/(87).jpg,3
../Image Data/Monuments/train/Ellora Caves/(91).jpg,3
../Image Data/Monuments/train/Ellora Caves/(29).jpg,0
../Image Data/Monuments/train/Ellora Caves/(8).jpg,1
../Image Data/Monuments/train/Ellora Caves/(48).jpg,3
../Image Data/Monuments/train/Ellora Caves/(33).jpg,2
../Image Data/Monuments/train/Ellora Caves/(64).jpg,1
../Image Data/Monuments/train/Ellora Caves/(72).jpg,3
../Image Data/Monuments/train/Ellora Caves/(25).jpg,2
../Image Data/Monuments/train/Ellora Caves/(110).jpg,1
../Image Data/Monuments/train/Ellora Caves/(79).jpg,0
../Image Data/Monuments/train/Ellora Caves/(96).jpg,3
../Image Data/Monuments/train/Ellora Caves/(80).jpg,2
../Image Data/Monuments/train/Ellora Caves/(106).jpg,1
../Image Data/Monuments/train/Ellora Caves/(38).jpg,3
../Image Data/Monuments/train/Ellora Caves/(43).jpg,2
../Image Data/Monuments/train/Ellora Caves/(14).jpg,1
../Image Data/Monuments/train/Ellora Caves/(3).jpg,2
../Image Data/Monuments/train/Ellora Caves/(55).jpg,3
../Image Data/Monuments/train/Ellora Caves/(22).jpg,0
../Image Data/Monuments/train/Ellora Caves/(75).jpg,2
../Image Data/Monuments/train/Ellora Caves/(63).jpg,2
../Image Data/Monuments/train/Ellora Caves/(34).jpg,2
../Image Data/Monuments/train/Ellora Caves/(18).jpg,2
../Image Data/Monuments/train/Ellora Caves/(59).jpg,3
../Image Data/Monuments/train/Ellora Caves/(58).jpg,3
../Image Data/Monuments/train/Ellora Caves/(19).jpg,0
../Image Data/Monuments/train/Ellora Caves/(35).jpg,3
../Image Data/Monuments/train/Ellora Caves/(62).jpg,2
../Image Data/Monuments/train/Ellora Caves/(74).jpg,0
../Image Data/Monuments/train/Ellora Caves/(23).jpg,0
../Image Data/Monuments/train/Ellora Caves/(2).jpg,1
../Image Data/Monuments/train/Ellora Caves/(54).jpg,3
../Image Data/Monuments/train/Ellora Caves/(15).jpg,2
../Image Data/Monuments/train/Ellora Caves/(42).jpg,2
../Image Data/Monuments/train/Ellora Caves/(107).jpg,3
../Image Data/Monuments/train/Ellora Caves/(39).jpg,1
../Image Data/Monuments/train/Ellora Caves/(81).jpg,3
../Image Data/Monuments/train/Ellora Caves/(78).jpg,2
../Image Data/Monuments/train/Ellora Caves/(97).jpg,2
../Image Data/Monuments/train/Ellora Caves/(57).jpg,1
../Image Data/Monuments/train/Ellora Caves/(16).jpg,3
../Image Data/Monuments/train/Ellora Caves/(41).jpg,2
../Image Data/Monuments/train/Ellora Caves/(104).jpg,1
../Image Data/Monuments/train/Ellora Caves/(82).jpg,1
../Image Data/Monuments/train/Ellora Caves/(94).jpg,3
../Image Data/Monuments/train/Ellora Caves/(36).jpg,1
../Image Data/Monuments/train/Ellora Caves/(108).jpg,2
../Image Data/Monuments/train/Ellora Caves/(61).jpg,1
../Image Data/Monuments/train/Ellora Caves/(98).jpg,1
../Image Data/Monuments/train/Ellora Caves/(77).jpg,2
../Image Data/Monuments/train/Ellora Caves/(20).jpg,0
../Image Data/Monuments/train/Ellora Caves/(21).jpg,0
../Image Data/Monuments/train/Ellora Caves/(99).jpg,2
../Image Data/Monuments/train/Ellora Caves/(76).jpg,2
../Image Data/Monuments/train/Ellora Caves/(60).jpg,1
../Image Data/Monuments/train/Ellora Caves/(37).jpg,3
../Image Data/Monuments/train/Ellora Caves/(109).jpg,1
../Image Data/Monuments/train/Ellora Caves/(95).jpg,3
../Image Data/Monuments/train/Ellora Caves/(83).jpg,2
../Image Data/Monuments/train/Ellora Caves/(105).jpg,1
../Image Data/Monuments/train/Ellora Caves/(40).jpg,2
../Image Data/Monuments/train/Ellora Caves/(17).jpg,3
../Image Data/Monuments/train/Ellora Caves/(56).jpg,1
../Image Data/Monuments/train/Ellora Caves/(30).jpg,0
../Image Data/Monuments/train/Ellora Caves/(88).jpg,3
../Image Data/Monuments/train/Ellora Caves/(67).jpg,1
../Image Data/Monuments/train/Ellora Caves/(71).jpg,1
../Image Data/Monuments/train/Ellora Caves/(26).jpg,2
../Image Data/Monuments/train/Ellora Caves/(7).jpg,2
../Image Data/Monuments/train/Ellora Caves/(51).jpg,2
../Image Data/Monuments/train/Ellora Caves/(10).jpg,0
../Image Data/Monuments/train/Ellora Caves/(47).jpg,2
../Image Data/Monuments/train/Ellora Caves/(102).jpg,2
../Image Data/Monuments/train/Ellora Caves/(84).jpg,3
../Image Data/Monuments/train/Ellora Caves/(92).jpg,3
../Image Data/Monuments/train/Ellora Caves/(93).jpg,2
../Image Data/Monuments/train/Ellora Caves/(85).jpg,1
../Image Data/Monuments/train/Ellora Caves/(103).jpg,2
../Image Data/Monuments/train/Ellora Caves/(46).jpg,2
../Image Data/Monuments/train/Ellora Caves/(11).jpg,2
../Image Data/Monuments/train/Ellora Caves/(6).jpg,2
../Image Data/Monuments/train/Ellora Caves/(50).jpg,2
../Image Data/Monuments/train/Ellora Caves/(27).jpg,0
../Image Data/Monuments/train/Ellora Caves/(70).jpg,1
../Image Data/Monuments/train/Ellora Caves/(89).jpg,3
../Image Data/Monuments/train/Ellora Caves/(66).jpg,2
../Image Data/Monuments/train/Ellora Caves/(31).jpg,0
