Image_Path,Cluster_Label
../Image Data/Monuments/train/Fatehpur Sikri/8.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/9.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/14.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/28.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/29.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/15.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/17.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/16.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/12.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/13.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/39.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/11.jpg,2
../Image Data/Monuments/train/Fatehpur Sikri/10.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/38.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/21.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/35.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/34.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/20.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/36.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/22.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/23.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/37.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/33.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/27.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/26.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/32.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/18.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/24.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/30.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/31.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/25.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/19.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/42.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/4.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/5.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/7.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/41.jpg,2
../Image Data/Monuments/train/Fatehpur Sikri/40.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/6.jpg,3
../Image Data/Monuments/train/Fatehpur Sikri/2.jpg,0
../Image Data/Monuments/train/Fatehpur Sikri/3.jpg,1
../Image Data/Monuments/train/Fatehpur Sikri/1.jpg,1
