Image_Path,Cluster_Label
../Image Data/Monuments/train/Gateway of India/63.jpg,3
../Image Data/Monuments/train/Gateway of India/77.jpg,0
../Image Data/Monuments/train/Gateway of India/162.jpg,0
../Image Data/Monuments/train/Gateway of India/88.jpg,3
../Image Data/Monuments/train/Gateway of India/120 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/89.jpg,0
../Image Data/Monuments/train/Gateway of India/163.jpg,3
../Image Data/Monuments/train/Gateway of India/76.jpg,2
../Image Data/Monuments/train/Gateway of India/62.jpg,2
../Image Data/Monuments/train/Gateway of India/74.jpg,2
../Image Data/Monuments/train/Gateway of India/60.jpg,2
../Image Data/Monuments/train/Gateway of India/48.jpg,3
../Image Data/Monuments/train/Gateway of India/149.jpg,0
../Image Data/Monuments/train/Gateway of India/161.jpg,0
../Image Data/Monuments/train/Gateway of India/10 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/116 (1).jpg,2
../Image Data/Monuments/train/Gateway of India/106 (1).jpg,3
../Image Data/Monuments/train/Gateway of India/160.jpg,2
../Image Data/Monuments/train/Gateway of India/148.jpg,0
../Image Data/Monuments/train/Gateway of India/49.jpg,0
../Image Data/Monuments/train/Gateway of India/61.jpg,0
../Image Data/Monuments/train/Gateway of India/75.jpg,2
../Image Data/Monuments/train/Gateway of India/59.jpg,0
../Image Data/Monuments/train/Gateway of India/71.jpg,1
../Image Data/Monuments/train/Gateway of India/65.jpg,0
../Image Data/Monuments/train/Gateway of India/170.jpg,3
../Image Data/Monuments/train/Gateway of India/164.jpg,3
../Image Data/Monuments/train/Gateway of India/158.jpg,0
../Image Data/Monuments/train/Gateway of India/11 (1).jpg,1
../Image Data/Monuments/train/Gateway of India/107 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/117 (1).jpg,3
../Image Data/Monuments/train/Gateway of India/159.jpg,3
../Image Data/Monuments/train/Gateway of India/165.jpg,3
../Image Data/Monuments/train/Gateway of India/171.jpg,3
../Image Data/Monuments/train/Gateway of India/64.jpg,0
../Image Data/Monuments/train/Gateway of India/70.jpg,0
../Image Data/Monuments/train/Gateway of India/58.jpg,0
../Image Data/Monuments/train/Gateway of India/8.jpg,0
../Image Data/Monuments/train/Gateway of India/66.jpg,0
../Image Data/Monuments/train/Gateway of India/72.jpg,0
../Image Data/Monuments/train/Gateway of India/167.jpg,0
../Image Data/Monuments/train/Gateway of India/99.jpg,1
../Image Data/Monuments/train/Gateway of India/173.jpg,1
../Image Data/Monuments/train/Gateway of India/121 (1).jpg,3
../Image Data/Monuments/train/Gateway of India/172.jpg,3
../Image Data/Monuments/train/Gateway of India/166.jpg,2
../Image Data/Monuments/train/Gateway of India/98.jpg,2
../Image Data/Monuments/train/Gateway of India/73.jpg,0
../Image Data/Monuments/train/Gateway of India/67.jpg,0
../Image Data/Monuments/train/Gateway of India/9.jpg,3
../Image Data/Monuments/train/Gateway of India/14.jpg,0
../Image Data/Monuments/train/Gateway of India/28.jpg,0
../Image Data/Monuments/train/Gateway of India/129.jpg,2
../Image Data/Monuments/train/Gateway of India/101.jpg,1
../Image Data/Monuments/train/Gateway of India/115.jpg,0
../Image Data/Monuments/train/Gateway of India/115 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/114.jpg,0
../Image Data/Monuments/train/Gateway of India/100.jpg,0
../Image Data/Monuments/train/Gateway of India/105 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/128.jpg,3
../Image Data/Monuments/train/Gateway of India/29.jpg,2
../Image Data/Monuments/train/Gateway of India/15.jpg,0
../Image Data/Monuments/train/Gateway of India/17.jpg,2
../Image Data/Monuments/train/Gateway of India/123 (1).jpg,0
../Image Data/Monuments/train/Gateway of India/116.jpg,2
../Image Data/Monuments/train/Gateway of India/102.jpg,0
../Image Data/Monuments/train/Gateway of India/103.jpg,0
../Image Data/Monuments/train/Gateway of India/117.jpg,3
../Image Data/Monuments/train/Gateway of India/16.jpg,0
../Image Data/Monuments/train/Gateway of India/12.jpg,1
