Image_Path,Cluster_Label
../Image Data/Monuments/train/Humayun_s Tomb/63.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/77.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/162.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/88.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/89.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/163.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/76.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/62.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/74.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/60.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/48.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/149.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/161.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/160.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/148.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/49.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/61.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/75.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/59.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/71.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/65.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/164.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/158.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/159.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/165.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/64.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/70.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/58.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/8.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/66.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/72.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/167.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/99.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/166.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/98.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/73.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/67.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/9.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/14.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/28.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/129.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/101.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/115.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/114.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/100.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/128.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/29.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/15.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/17.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/116.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/102.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/103.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/117.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/16.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/12.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/113.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/107.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/106.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/112.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/13.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/39.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/11.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/104.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/110.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/138.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/139.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/111.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/105.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/10.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/38.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/21.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/35.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/108.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/120.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/134.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/135.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/121.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/109.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/34.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/20.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/36.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/22.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/137.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/123.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/122.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/136.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/23.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/37.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/33.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/27.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/132.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/126.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/127.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/133.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/26.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/32.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/18.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/24.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/30.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/125.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/131.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/119.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/118.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/130.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/124.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/31.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/25.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/19.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/42.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/4.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/56.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/81.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/95.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/143.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/157.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/156.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/142.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/94.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/80.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/5.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/57.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/43.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/55.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/7.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/41.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/69.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/96.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/82.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/154.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/140.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/141.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/155.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/83.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/97.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/68.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/40.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/54.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/6.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/78.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/2.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/50.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/151.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/145.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/93.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/87.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/86.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/92.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/144.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/150.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/45.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/3.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/51.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/79.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/47.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/53.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/1.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/146.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/152.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/84.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/90.jpg,0
../Image Data/Monuments/train/Humayun_s Tomb/91.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/85.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/153.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/147.jpg,2
../Image Data/Monuments/train/Humayun_s Tomb/52.jpg,1
../Image Data/Monuments/train/Humayun_s Tomb/46.jpg,2
