Image_Path,Cluster_Label
../Image Data/Monuments/train/India gate pics/images-30.jpeg,1
../Image Data/Monuments/train/India gate pics/i (49).jpg,1
../Image Data/Monuments/train/India gate pics/10.jpeg,0
../Image Data/Monuments/train/India gate pics/images-26.jpeg,1
../Image Data/Monuments/train/India gate pics/i (24).jpg,1
../Image Data/Monuments/train/India gate pics/i (73).jpg,0
../Image Data/Monuments/train/India gate pics/i (65).jpg,0
../Image Data/Monuments/train/India gate pics/i (7).jpg,2
../Image Data/Monuments/train/India gate pics/images-2 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-3 (1).jpeg,0
../Image Data/Monuments/train/India gate pics/i (32).jpg,1
../Image Data/Monuments/train/India gate pics/i (45).jpg,0
../Image Data/Monuments/train/India gate pics/i (12).jpg,0
../Image Data/Monuments/train/India gate pics/images-3.jpeg,0
../Image Data/Monuments/train/India gate pics/i (53).jpg,0
../Image Data/Monuments/train/India gate pics/26.jpeg,2
../Image Data/Monuments/train/India gate pics/i (28).jpg,0
../Image Data/Monuments/train/India gate pics/images-8 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-9 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-10.jpeg,1
../Image Data/Monuments/train/India gate pics/i (69).jpg,0
../Image Data/Monuments/train/India gate pics/images-11.jpeg,1
../Image Data/Monuments/train/India gate pics/i (68).jpg,1
../Image Data/Monuments/train/India gate pics/i (29).jpg,1
../Image Data/Monuments/train/India gate pics/27.jpeg,0
../Image Data/Monuments/train/India gate pics/images.jpeg,1
../Image Data/Monuments/train/India gate pics/i (52).jpg,1
../Image Data/Monuments/train/India gate pics/images-2.jpeg,0
../Image Data/Monuments/train/India gate pics/i (13).jpg,1
../Image Data/Monuments/train/India gate pics/images-19 (1).jpeg,0
../Image Data/Monuments/train/India gate pics/images-18 (1).jpeg,0
../Image Data/Monuments/train/India gate pics/i (44).jpg,0
../Image Data/Monuments/train/India gate pics/i (33).jpg,1
../Image Data/Monuments/train/India gate pics/i (6).jpg,0
../Image Data/Monuments/train/India gate pics/i (64).jpg,0
../Image Data/Monuments/train/India gate pics/i (72).jpg,1
../Image Data/Monuments/train/India gate pics/i (25).jpg,0
../Image Data/Monuments/train/India gate pics/images-13 (1).jpeg,0
../Image Data/Monuments/train/India gate pics/images-12 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-27.jpeg,2
../Image Data/Monuments/train/India gate pics/11.jpeg,2
../Image Data/Monuments/train/India gate pics/images-31.jpeg,2
../Image Data/Monuments/train/India gate pics/i (48).jpg,0
../Image Data/Monuments/train/India gate pics/i (43).jpg,1
../Image Data/Monuments/train/India gate pics/i (14).jpg,0
../Image Data/Monuments/train/India gate pics/images-5.jpeg,1
../Image Data/Monuments/train/India gate pics/images-20 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-21 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/i (55).jpg,0
../Image Data/Monuments/train/India gate pics/images (1).jpeg,2
../Image Data/Monuments/train/India gate pics/20.jpeg,1
../Image Data/Monuments/train/India gate pics/i (79).jpg,1
../Image Data/Monuments/train/India gate pics/images-16.jpeg,0
../Image Data/Monuments/train/India gate pics/i (80).jpg,0
../Image Data/Monuments/train/India gate pics/i (38).jpg,1
../Image Data/Monuments/train/India gate pics/images-36.jpeg,1
../Image Data/Monuments/train/India gate pics/i (18).jpg,0
../Image Data/Monuments/train/India gate pics/16.jpeg,1
../Image Data/Monuments/train/India gate pics/images-9.jpeg,1
../Image Data/Monuments/train/India gate pics/images-20.jpeg,1
../Image Data/Monuments/train/India gate pics/i (59).jpg,1
../Image Data/Monuments/train/India gate pics/i (22).jpg,1
../Image Data/Monuments/train/India gate pics/i (75).jpg,0
../Image Data/Monuments/train/India gate pics/images-14 (1).jpeg,1
../Image Data/Monuments/train/India gate pics/images-15 (1).jpeg,0
../Image Data/Monuments/train/India gate pics/i (63).jpg,0
../Image Data/Monuments/train/India gate pics/6.jpeg,0
../Image Data/Monuments/train/India gate pics/i (34).jpg,1
../Image Data/Monuments/train/India gate pics/i (35).jpg,1
../Image Data/Monuments/train/India gate pics/7.jpeg,1
../Image Data/Monuments/train/India gate pics/i (62).jpg,1
