Image_Path,Cluster_Label
../Image Data/Paintings/training/Kalamkari/p173.jpg,2
../Image Data/Paintings/training/Kalamkari/p167.jpg,3
../Image Data/Paintings/training/Kalamkari/p198.jpg,0
../Image Data/Paintings/training/Kalamkari/p12.jpg,0
../Image Data/Paintings/training/Kalamkari/p205.jpg,0
../Image Data/Paintings/training/Kalamkari/p211.jpg,2
../Image Data/Paintings/training/Kalamkari/p210.jpg,3
../Image Data/Paintings/training/Kalamkari/p204.jpg,0
../Image Data/Paintings/training/Kalamkari/p13.jpg,0
../Image Data/Paintings/training/Kalamkari/p199.jpg,2
../Image Data/Paintings/training/Kalamkari/p166.jpg,0
../Image Data/Paintings/training/Kalamkari/p172.jpg,1
../Image Data/Paintings/training/Kalamkari/p158.jpg,2
../Image Data/Paintings/training/Kalamkari/p164.jpg,0
../Image Data/Paintings/training/Kalamkari/p170.jpg,3
../Image Data/Paintings/training/Kalamkari/p11.jpg,1
../Image Data/Paintings/training/Kalamkari/p212.jpg,2
../Image Data/Paintings/training/Kalamkari/p39.jpg,2
../Image Data/Paintings/training/Kalamkari/p206.jpg,3
../Image Data/Paintings/training/Kalamkari/p207.jpg,2
../Image Data/Paintings/training/Kalamkari/p38.jpg,3
../Image Data/Paintings/training/Kalamkari/p213.jpg,0
../Image Data/Paintings/training/Kalamkari/p10.jpg,3
../Image Data/Paintings/training/Kalamkari/p171.jpg,2
../Image Data/Paintings/training/Kalamkari/p165.jpg,0
../Image Data/Paintings/training/Kalamkari/p159.jpg,3
../Image Data/Paintings/training/Kalamkari/p161.jpg,0
../Image Data/Paintings/training/Kalamkari/p175.jpg,3
../Image Data/Paintings/training/Kalamkari/p149.jpg,2
../Image Data/Paintings/training/Kalamkari/p28.jpg,2
../Image Data/Paintings/training/Kalamkari/p217.jpg,2
../Image Data/Paintings/training/Kalamkari/p203.jpg,2
../Image Data/Paintings/training/Kalamkari/p14.jpg,0
../Image Data/Paintings/training/Kalamkari/p15.jpg,3
../Image Data/Paintings/training/Kalamkari/p202.jpg,2
../Image Data/Paintings/training/Kalamkari/p216.jpg,3
../Image Data/Paintings/training/Kalamkari/p29.jpg,3
../Image Data/Paintings/training/Kalamkari/p148.jpg,3
../Image Data/Paintings/training/Kalamkari/p174.jpg,0
../Image Data/Paintings/training/Kalamkari/p160.jpg,3
../Image Data/Paintings/training/Kalamkari/p176.jpg,3
../Image Data/Paintings/training/Kalamkari/p162.jpg,3
../Image Data/Paintings/training/Kalamkari/p189.jpg,0
../Image Data/Paintings/training/Kalamkari/p200.jpg,3
../Image Data/Paintings/training/Kalamkari/p214.jpg,2
../Image Data/Paintings/training/Kalamkari/p17.jpg,3
../Image Data/Paintings/training/Kalamkari/p16.jpg,2
../Image Data/Paintings/training/Kalamkari/p215.jpg,2
../Image Data/Paintings/training/Kalamkari/p201.jpg,3
../Image Data/Paintings/training/Kalamkari/p188.jpg,2
../Image Data/Paintings/training/Kalamkari/p163.jpg,0
../Image Data/Paintings/training/Kalamkari/p177.jpg,0
../Image Data/Paintings/training/Kalamkari/p138.jpg,0
../Image Data/Paintings/training/Kalamkari/p110.jpg,0
../Image Data/Paintings/training/Kalamkari/p104.jpg,0
../Image Data/Paintings/training/Kalamkari/p65.jpg,0
../Image Data/Paintings/training/Kalamkari/p71.jpg,2
../Image Data/Paintings/training/Kalamkari/p59.jpg,0
../Image Data/Paintings/training/Kalamkari/p58.jpg,2
../Image Data/Paintings/training/Kalamkari/p70.jpg,2
../Image Data/Paintings/training/Kalamkari/p64.jpg,3
../Image Data/Paintings/training/Kalamkari/p105.jpg,0
../Image Data/Paintings/training/Kalamkari/p111.jpg,0
../Image Data/Paintings/training/Kalamkari/p139.jpg,0
../Image Data/Paintings/training/Kalamkari/p107.jpg,2
../Image Data/Paintings/training/Kalamkari/p113.jpg,0
../Image Data/Paintings/training/Kalamkari/p9.jpg,0
../Image Data/Paintings/training/Kalamkari/p72.jpg,3
../Image Data/Paintings/training/Kalamkari/p66.jpg,2
../Image Data/Paintings/training/Kalamkari/p99.jpg,2
../Image Data/Paintings/training/Kalamkari/p98.jpg,2
../Image Data/Paintings/training/Kalamkari/p67.jpg,0
../Image Data/Paintings/training/Kalamkari/p73.jpg,0
../Image Data/Paintings/training/Kalamkari/p8.jpg,1
../Image Data/Paintings/training/Kalamkari/p112.jpg,2
../Image Data/Paintings/training/Kalamkari/p106.jpg,3
../Image Data/Paintings/training/Kalamkari/p102.jpg,0
../Image Data/Paintings/training/Kalamkari/p116.jpg,1
../Image Data/Paintings/training/Kalamkari/p77.jpg,0
../Image Data/Paintings/training/Kalamkari/p63.jpg,0
../Image Data/Paintings/training/Kalamkari/p88.jpg,2
../Image Data/Paintings/training/Kalamkari/p89.jpg,2
../Image Data/Paintings/training/Kalamkari/p62.jpg,0
../Image Data/Paintings/training/Kalamkari/p76.jpg,0
../Image Data/Paintings/training/Kalamkari/p117.jpg,2
../Image Data/Paintings/training/Kalamkari/p103.jpg,0
../Image Data/Paintings/training/Kalamkari/p115.jpg,0
../Image Data/Paintings/training/Kalamkari/p101.jpg,0
../Image Data/Paintings/training/Kalamkari/p129.jpg,1
../Image Data/Paintings/training/Kalamkari/p48.jpg,2
../Image Data/Paintings/training/Kalamkari/p60.jpg,3
../Image Data/Paintings/training/Kalamkari/p74.jpg,0
../Image Data/Paintings/training/Kalamkari/p75.jpg,2
../Image Data/Paintings/training/Kalamkari/p61.jpg,2
../Image Data/Paintings/training/Kalamkari/p49.jpg,0
../Image Data/Paintings/training/Kalamkari/p128.jpg,0
../Image Data/Paintings/training/Kalamkari/p100.jpg,1
../Image Data/Paintings/training/Kalamkari/p114.jpg,0
../Image Data/Paintings/training/Kalamkari/p119.jpg,0
../Image Data/Paintings/training/Kalamkari/p131.jpg,0
../Image Data/Paintings/training/Kalamkari/p125.jpg,0
../Image Data/Paintings/training/Kalamkari/p3.jpg,2
../Image Data/Paintings/training/Kalamkari/p44.jpg,2
../Image Data/Paintings/training/Kalamkari/p50.jpg,0
../Image Data/Paintings/training/Kalamkari/p78.jpg,0
../Image Data/Paintings/training/Kalamkari/p87.jpg,0
../Image Data/Paintings/training/Kalamkari/p93.jpg,0
../Image Data/Paintings/training/Kalamkari/p92.jpg,0
../Image Data/Paintings/training/Kalamkari/p86.jpg,3
../Image Data/Paintings/training/Kalamkari/p79.jpg,3
../Image Data/Paintings/training/Kalamkari/p51.jpg,0
../Image Data/Paintings/training/Kalamkari/p45.jpg,2
../Image Data/Paintings/training/Kalamkari/p2.jpg,0
../Image Data/Paintings/training/Kalamkari/p124.jpg,0
../Image Data/Paintings/training/Kalamkari/p130.jpg,0
../Image Data/Paintings/training/Kalamkari/p118.jpg,3
../Image Data/Paintings/training/Kalamkari/p126.jpg,1
../Image Data/Paintings/training/Kalamkari/p132.jpg,2
../Image Data/Paintings/training/Kalamkari/p53.jpg,0
../Image Data/Paintings/training/Kalamkari/p47.jpg,0
../Image Data/Paintings/training/Kalamkari/p90.jpg,3
../Image Data/Paintings/training/Kalamkari/p84.jpg,0
../Image Data/Paintings/training/Kalamkari/p85.jpg,2
../Image Data/Paintings/training/Kalamkari/p91.jpg,0
../Image Data/Paintings/training/Kalamkari/p46.jpg,0
../Image Data/Paintings/training/Kalamkari/p52.jpg,0
../Image Data/Paintings/training/Kalamkari/p1.jpg,0
../Image Data/Paintings/training/Kalamkari/p133.jpg,0
../Image Data/Paintings/training/Kalamkari/p127.jpg,0
../Image Data/Paintings/training/Kalamkari/p123.jpg,2
../Image Data/Paintings/training/Kalamkari/p137.jpg,0
../Image Data/Paintings/training/Kalamkari/p5.jpg,2
../Image Data/Paintings/training/Kalamkari/p56.jpg,2
../Image Data/Paintings/training/Kalamkari/p42.jpg,0
../Image Data/Paintings/training/Kalamkari/p95.jpg,3
../Image Data/Paintings/training/Kalamkari/p81.jpg,1
../Image Data/Paintings/training/Kalamkari/p80.jpg,3
../Image Data/Paintings/training/Kalamkari/p94.jpg,0
../Image Data/Paintings/training/Kalamkari/p43.jpg,0
../Image Data/Paintings/training/Kalamkari/p57.jpg,0
../Image Data/Paintings/training/Kalamkari/p4.jpg,0
../Image Data/Paintings/training/Kalamkari/p136.jpg,1
../Image Data/Paintings/training/Kalamkari/p122.jpg,2
../Image Data/Paintings/training/Kalamkari/p134.jpg,3
../Image Data/Paintings/training/Kalamkari/p120.jpg,2
../Image Data/Paintings/training/Kalamkari/p108.jpg,3
../Image Data/Paintings/training/Kalamkari/p6.jpg,2
../Image Data/Paintings/training/Kalamkari/p69.jpg,0
../Image Data/Paintings/training/Kalamkari/p41.jpg,3
../Image Data/Paintings/training/Kalamkari/p55.jpg,2
../Image Data/Paintings/training/Kalamkari/p82.jpg,3
../Image Data/Paintings/training/Kalamkari/p96.jpg,2
../Image Data/Paintings/training/Kalamkari/p97.jpg,2
../Image Data/Paintings/training/Kalamkari/p83.jpg,2
../Image Data/Paintings/training/Kalamkari/p54.jpg,2
../Image Data/Paintings/training/Kalamkari/p40.jpg,2
../Image Data/Paintings/training/Kalamkari/p68.jpg,0
../Image Data/Paintings/training/Kalamkari/p7.jpg,3
../Image Data/Paintings/training/Kalamkari/p109.jpg,0
../Image Data/Paintings/training/Kalamkari/p121.jpg,1
../Image Data/Paintings/training/Kalamkari/p135.jpg,2
../Image Data/Paintings/training/Kalamkari/p152.jpg,1
../Image Data/Paintings/training/Kalamkari/p146.jpg,3
../Image Data/Paintings/training/Kalamkari/p191.jpg,3
../Image Data/Paintings/training/Kalamkari/p185.jpg,2
../Image Data/Paintings/training/Kalamkari/p27.jpg,0
../Image Data/Paintings/training/Kalamkari/p218.jpg,1
../Image Data/Paintings/training/Kalamkari/p33.jpg,1
../Image Data/Paintings/training/Kalamkari/p32.jpg,1
../Image Data/Paintings/training/Kalamkari/p219.jpg,2
../Image Data/Paintings/training/Kalamkari/p26.jpg,3
../Image Data/Paintings/training/Kalamkari/p184.jpg,3
../Image Data/Paintings/training/Kalamkari/p190.jpg,0
../Image Data/Paintings/training/Kalamkari/p147.jpg,1
