Image_Path,Cluster_Label
../Image Data/Paintings/training/Kangra/p173.jpg,0
../Image Data/Paintings/training/Kangra/p167.jpg,1
../Image Data/Paintings/training/Kangra/p198.jpg,2
../Image Data/Paintings/training/Kangra/p12.jpg,2
../Image Data/Paintings/training/Kangra/p205.jpg,0
../Image Data/Paintings/training/Kangra/p211.jpg,0
../Image Data/Paintings/training/Kangra/p210.jpg,0
../Image Data/Paintings/training/Kangra/p204.jpg,2
../Image Data/Paintings/training/Kangra/p13.jpg,1
../Image Data/Paintings/training/Kangra/p199.jpg,1
../Image Data/Paintings/training/Kangra/p166.jpg,2
../Image Data/Paintings/training/Kangra/p172.jpg,1
../Image Data/Paintings/training/Kangra/p158.jpg,0
../Image Data/Paintings/training/Kangra/p164.jpg,0
../Image Data/Paintings/training/Kangra/p170.jpg,0
../Image Data/Paintings/training/Kangra/p11.jpg,1
../Image Data/Paintings/training/Kangra/p212.jpg,1
../Image Data/Paintings/training/Kangra/p39.jpg,2
../Image Data/Paintings/training/Kangra/p206.jpg,0
../Image Data/Paintings/training/Kangra/p207.jpg,2
../Image Data/Paintings/training/Kangra/p38.jpg,2
../Image Data/Paintings/training/Kangra/p213.jpg,0
../Image Data/Paintings/training/Kangra/p10.jpg,1
../Image Data/Paintings/training/Kangra/p171.jpg,2
../Image Data/Paintings/training/Kangra/p165.jpg,0
../Image Data/Paintings/training/Kangra/p159.jpg,0
../Image Data/Paintings/training/Kangra/p161.jpg,0
../Image Data/Paintings/training/Kangra/p175.jpg,0
../Image Data/Paintings/training/Kangra/p149.jpg,2
../Image Data/Paintings/training/Kangra/p28.jpg,0
../Image Data/Paintings/training/Kangra/p217.jpg,1
../Image Data/Paintings/training/Kangra/p203.jpg,0
../Image Data/Paintings/training/Kangra/p14.jpg,0
../Image Data/Paintings/training/Kangra/p15.jpg,2
../Image Data/Paintings/training/Kangra/p202.jpg,0
../Image Data/Paintings/training/Kangra/p216.jpg,1
../Image Data/Paintings/training/Kangra/p29.jpg,0
../Image Data/Paintings/training/Kangra/p148.jpg,0
../Image Data/Paintings/training/Kangra/p174.jpg,0
../Image Data/Paintings/training/Kangra/p160.jpg,1
../Image Data/Paintings/training/Kangra/p176.jpg,0
../Image Data/Paintings/training/Kangra/p162.jpg,2
../Image Data/Paintings/training/Kangra/p189.jpg,0
../Image Data/Paintings/training/Kangra/p200.jpg,0
../Image Data/Paintings/training/Kangra/p214.jpg,0
../Image Data/Paintings/training/Kangra/p17.jpg,0
../Image Data/Paintings/training/Kangra/p16.jpg,1
../Image Data/Paintings/training/Kangra/p215.jpg,0
../Image Data/Paintings/training/Kangra/p201.jpg,0
../Image Data/Paintings/training/Kangra/p188.jpg,1
../Image Data/Paintings/training/Kangra/p163.jpg,0
../Image Data/Paintings/training/Kangra/p177.jpg,2
../Image Data/Paintings/training/Kangra/p138.jpg,0
../Image Data/Paintings/training/Kangra/p110.jpg,0
../Image Data/Paintings/training/Kangra/p104.jpg,2
../Image Data/Paintings/training/Kangra/p65.jpg,0
../Image Data/Paintings/training/Kangra/p71.jpg,2
../Image Data/Paintings/training/Kangra/p59.jpg,0
../Image Data/Paintings/training/Kangra/p58.jpg,0
../Image Data/Paintings/training/Kangra/p70.jpg,1
../Image Data/Paintings/training/Kangra/p64.jpg,2
../Image Data/Paintings/training/Kangra/p105.jpg,0
../Image Data/Paintings/training/Kangra/p111.jpg,1
../Image Data/Paintings/training/Kangra/p139.jpg,2
../Image Data/Paintings/training/Kangra/p107.jpg,0
../Image Data/Paintings/training/Kangra/p113.jpg,1
../Image Data/Paintings/training/Kangra/p9.jpg,0
../Image Data/Paintings/training/Kangra/p72.jpg,2
../Image Data/Paintings/training/Kangra/p66.jpg,2
../Image Data/Paintings/training/Kangra/p99.jpg,0
../Image Data/Paintings/training/Kangra/p98.jpg,0
