Image_Path,Cluster_Label
../Image Data/Monuments/train/Khajuraho/img22.jpg,0
../Image Data/Monuments/train/Khajuraho/img36.jpg,2
../Image Data/Monuments/train/Khajuraho/img37.jpg,2
../Image Data/Monuments/train/Khajuraho/img23.jpg,0
../Image Data/Monuments/train/Khajuraho/img35.jpg,2
../Image Data/Monuments/train/Khajuraho/img21.jpg,2
../Image Data/Monuments/train/Khajuraho/img20.jpg,0
../Image Data/Monuments/train/Khajuraho/img34.jpg,0
../Image Data/Monuments/train/Khajuraho/img30.jpg,0
../Image Data/Monuments/train/Khajuraho/img24.jpg,2
../Image Data/Monuments/train/Khajuraho/img18.jpg,2
../Image Data/Monuments/train/Khajuraho/img19.jpg,2
../Image Data/Monuments/train/Khajuraho/img25.jpg,1
../Image Data/Monuments/train/Khajuraho/img31.jpg,1
../Image Data/Monuments/train/Khajuraho/img27.jpg,3
../Image Data/Monuments/train/Khajuraho/img33.jpg,2
../Image Data/Monuments/train/Khajuraho/img32.jpg,2
../Image Data/Monuments/train/Khajuraho/img26.jpg,0
../Image Data/Monuments/train/Khajuraho/img41.jpg,0
../Image Data/Monuments/train/Khajuraho/img40.jpg,0
../Image Data/Monuments/train/Khajuraho/img42.jpg,0
../Image Data/Monuments/train/Khajuraho/img43.jpg,0
../Image Data/Monuments/train/Khajuraho/img44.jpg,2
../Image Data/Monuments/train/Khajuraho/img9.jpg,1
../Image Data/Monuments/train/Khajuraho/img8.jpg,0
../Image Data/Monuments/train/Khajuraho/img5.jpg,1
../Image Data/Monuments/train/Khajuraho/img4.jpg,0
../Image Data/Monuments/train/Khajuraho/img6.jpg,2
../Image Data/Monuments/train/Khajuraho/img7.jpg,1
../Image Data/Monuments/train/Khajuraho/img3.jpg,3
../Image Data/Monuments/train/Khajuraho/img2.jpg,2
../Image Data/Monuments/train/Khajuraho/img1.jpg,2
../Image Data/Monuments/train/Khajuraho/img17.jpg,0
../Image Data/Monuments/train/Khajuraho/img16.jpg,0
../Image Data/Monuments/train/Khajuraho/img28.jpg,0
../Image Data/Monuments/train/Khajuraho/img14.jpg,2
../Image Data/Monuments/train/Khajuraho/img15.jpg,3
../Image Data/Monuments/train/Khajuraho/img29.jpg,3
../Image Data/Monuments/train/Khajuraho/img11.jpg,2
../Image Data/Monuments/train/Khajuraho/img39.jpg,2
../Image Data/Monuments/train/Khajuraho/img38.jpg,2
../Image Data/Monuments/train/Khajuraho/img10.jpg,2
../Image Data/Monuments/train/Khajuraho/img12.jpg,0
../Image Data/Monuments/train/Khajuraho/img13.jpg,2
