Image_Path,Cluster_Label
../Image Data/Paintings/training/Madhubani/p173.jpg,2
../Image Data/Paintings/training/Madhubani/p167.jpg,2
../Image Data/Paintings/training/Madhubani/p198.jpg,2
../Image Data/Paintings/training/Madhubani/p12.jpg,0
../Image Data/Paintings/training/Madhubani/p205.jpg,2
../Image Data/Paintings/training/Madhubani/p211.jpg,1
../Image Data/Paintings/training/Madhubani/p210.jpg,0
../Image Data/Paintings/training/Madhubani/p204.jpg,0
../Image Data/Paintings/training/Madhubani/p13.jpg,0
../Image Data/Paintings/training/Madhubani/p199.jpg,3
../Image Data/Paintings/training/Madhubani/p166.jpg,2
../Image Data/Paintings/training/Madhubani/p172.jpg,1
../Image Data/Paintings/training/Madhubani/p158.jpg,2
../Image Data/Paintings/training/Madhubani/p164.jpg,0
../Image Data/Paintings/training/Madhubani/p170.jpg,1
../Image Data/Paintings/training/Madhubani/p11.jpg,2
../Image Data/Paintings/training/Madhubani/p212.jpg,3
../Image Data/Paintings/training/Madhubani/p39.jpg,0
../Image Data/Paintings/training/Madhubani/p206.jpg,2
../Image Data/Paintings/training/Madhubani/p207.jpg,0
../Image Data/Paintings/training/Madhubani/p38.jpg,2
../Image Data/Paintings/training/Madhubani/p213.jpg,2
../Image Data/Paintings/training/Madhubani/p10.jpg,2
../Image Data/Paintings/training/Madhubani/p171.jpg,2
../Image Data/Paintings/training/Madhubani/p165.jpg,1
../Image Data/Paintings/training/Madhubani/p159.jpg,2
../Image Data/Paintings/training/Madhubani/p161.jpg,0
../Image Data/Paintings/training/Madhubani/p175.jpg,2
../Image Data/Paintings/training/Madhubani/p149.jpg,0
../Image Data/Paintings/training/Madhubani/p28.jpg,1
../Image Data/Paintings/training/Madhubani/p217.jpg,2
../Image Data/Paintings/training/Madhubani/p203.jpg,1
../Image Data/Paintings/training/Madhubani/p14.jpg,1
../Image Data/Paintings/training/Madhubani/p15.jpg,2
../Image Data/Paintings/training/Madhubani/p202.jpg,0
../Image Data/Paintings/training/Madhubani/p216.jpg,0
../Image Data/Paintings/training/Madhubani/p29.jpg,0
../Image Data/Paintings/training/Madhubani/p148.jpg,0
../Image Data/Paintings/training/Madhubani/p174.jpg,0
../Image Data/Paintings/training/Madhubani/p160.jpg,1
../Image Data/Paintings/training/Madhubani/p176.jpg,1
../Image Data/Paintings/training/Madhubani/p162.jpg,2
../Image Data/Paintings/training/Madhubani/p189.jpg,3
../Image Data/Paintings/training/Madhubani/p200.jpg,1
../Image Data/Paintings/training/Madhubani/p214.jpg,3
../Image Data/Paintings/training/Madhubani/p17.jpg,0
../Image Data/Paintings/training/Madhubani/p16.jpg,2
../Image Data/Paintings/training/Madhubani/p215.jpg,2
../Image Data/Paintings/training/Madhubani/p201.jpg,0
../Image Data/Paintings/training/Madhubani/p188.jpg,0
../Image Data/Paintings/training/Madhubani/p163.jpg,1
../Image Data/Paintings/training/Madhubani/p177.jpg,0
../Image Data/Paintings/training/Madhubani/p138.jpg,0
../Image Data/Paintings/training/Madhubani/p110.jpg,2
../Image Data/Paintings/training/Madhubani/p104.jpg,2
../Image Data/Paintings/training/Madhubani/p65.jpg,0
../Image Data/Paintings/training/Madhubani/p71.jpg,3
../Image Data/Paintings/training/Madhubani/p59.jpg,2
../Image Data/Paintings/training/Madhubani/p58.jpg,3
../Image Data/Paintings/training/Madhubani/p70.jpg,1
../Image Data/Paintings/training/Madhubani/p64.jpg,1
../Image Data/Paintings/training/Madhubani/p105.jpg,2
../Image Data/Paintings/training/Madhubani/p111.jpg,3
../Image Data/Paintings/training/Madhubani/p139.jpg,3
../Image Data/Paintings/training/Madhubani/p107.jpg,0
../Image Data/Paintings/training/Madhubani/p113.jpg,0
../Image Data/Paintings/training/Madhubani/p9.jpg,3
../Image Data/Paintings/training/Madhubani/p72.jpg,0
../Image Data/Paintings/training/Madhubani/p66.jpg,1
../Image Data/Paintings/training/Madhubani/p99.jpg,0
../Image Data/Paintings/training/Madhubani/p98.jpg,2
../Image Data/Paintings/training/Madhubani/p67.jpg,3
../Image Data/Paintings/training/Madhubani/p73.jpg,2
../Image Data/Paintings/training/Madhubani/p8.jpg,2
../Image Data/Paintings/training/Madhubani/p112.jpg,2
../Image Data/Paintings/training/Madhubani/p106.jpg,0
../Image Data/Paintings/training/Madhubani/p102.jpg,2
../Image Data/Paintings/training/Madhubani/p116.jpg,0
../Image Data/Paintings/training/Madhubani/p77.jpg,3
../Image Data/Paintings/training/Madhubani/p63.jpg,0
../Image Data/Paintings/training/Madhubani/p88.jpg,1
../Image Data/Paintings/training/Madhubani/p89.jpg,0
../Image Data/Paintings/training/Madhubani/p62.jpg,0
../Image Data/Paintings/training/Madhubani/p76.jpg,2
../Image Data/Paintings/training/Madhubani/p117.jpg,2
../Image Data/Paintings/training/Madhubani/p103.jpg,2
../Image Data/Paintings/training/Madhubani/p115.jpg,1
../Image Data/Paintings/training/Madhubani/p101.jpg,2
../Image Data/Paintings/training/Madhubani/p129.jpg,2
../Image Data/Paintings/training/Madhubani/p48.jpg,1
../Image Data/Paintings/training/Madhubani/p60.jpg,0
../Image Data/Paintings/training/Madhubani/p74.jpg,0
../Image Data/Paintings/training/Madhubani/p75.jpg,1
../Image Data/Paintings/training/Madhubani/p61.jpg,1
../Image Data/Paintings/training/Madhubani/p49.jpg,0
../Image Data/Paintings/training/Madhubani/p128.jpg,3
../Image Data/Paintings/training/Madhubani/p100.jpg,1
../Image Data/Paintings/training/Madhubani/p114.jpg,0
../Image Data/Paintings/training/Madhubani/p119.jpg,0
../Image Data/Paintings/training/Madhubani/p131.jpg,2
../Image Data/Paintings/training/Madhubani/p125.jpg,0
../Image Data/Paintings/training/Madhubani/p3.jpg,0
../Image Data/Paintings/training/Madhubani/p44.jpg,3
../Image Data/Paintings/training/Madhubani/p50.jpg,0
../Image Data/Paintings/training/Madhubani/p78.jpg,2
../Image Data/Paintings/training/Madhubani/p87.jpg,1
../Image Data/Paintings/training/Madhubani/p93.jpg,2
../Image Data/Paintings/training/Madhubani/p92.jpg,0
../Image Data/Paintings/training/Madhubani/p86.jpg,0
../Image Data/Paintings/training/Madhubani/p79.jpg,2
../Image Data/Paintings/training/Madhubani/p51.jpg,2
../Image Data/Paintings/training/Madhubani/p45.jpg,0
../Image Data/Paintings/training/Madhubani/p2.jpg,2
../Image Data/Paintings/training/Madhubani/p124.jpg,0
../Image Data/Paintings/training/Madhubani/p130.jpg,1
../Image Data/Paintings/training/Madhubani/p118.jpg,2
../Image Data/Paintings/training/Madhubani/p126.jpg,2
../Image Data/Paintings/training/Madhubani/p132.jpg,2
../Image Data/Paintings/training/Madhubani/p53.jpg,3
../Image Data/Paintings/training/Madhubani/p47.jpg,2
../Image Data/Paintings/training/Madhubani/p90.jpg,0
../Image Data/Paintings/training/Madhubani/p84.jpg,3
../Image Data/Paintings/training/Madhubani/p85.jpg,0
../Image Data/Paintings/training/Madhubani/p91.jpg,0
../Image Data/Paintings/training/Madhubani/p46.jpg,2
../Image Data/Paintings/training/Madhubani/p52.jpg,1
../Image Data/Paintings/training/Madhubani/p1.jpg,1
../Image Data/Paintings/training/Madhubani/p133.jpg,1
../Image Data/Paintings/training/Madhubani/p127.jpg,1
../Image Data/Paintings/training/Madhubani/p123.jpg,2
../Image Data/Paintings/training/Madhubani/p137.jpg,0
../Image Data/Paintings/training/Madhubani/p5.jpg,2
../Image Data/Paintings/training/Madhubani/p56.jpg,2
../Image Data/Paintings/training/Madhubani/p42.jpg,2
../Image Data/Paintings/training/Madhubani/p95.jpg,3
../Image Data/Paintings/training/Madhubani/p81.jpg,1
../Image Data/Paintings/training/Madhubani/p80.jpg,0
../Image Data/Paintings/training/Madhubani/p94.jpg,0
../Image Data/Paintings/training/Madhubani/p43.jpg,3
../Image Data/Paintings/training/Madhubani/p57.jpg,0
../Image Data/Paintings/training/Madhubani/p4.jpg,2
../Image Data/Paintings/training/Madhubani/p136.jpg,3
../Image Data/Paintings/training/Madhubani/p122.jpg,2
../Image Data/Paintings/training/Madhubani/p134.jpg,0
../Image Data/Paintings/training/Madhubani/p120.jpg,2
../Image Data/Paintings/training/Madhubani/p108.jpg,0
../Image Data/Paintings/training/Madhubani/p6.jpg,1
../Image Data/Paintings/training/Madhubani/p69.jpg,0
../Image Data/Paintings/training/Madhubani/p41.jpg,1
