Image_Path,Cluster_Label
../Image Data/Paintings/training/Portrait/p173.jpg,2
../Image Data/Paintings/training/Portrait/p167.jpg,0
../Image Data/Paintings/training/Portrait/p198.jpg,0
../Image Data/Paintings/training/Portrait/p12.jpg,2
../Image Data/Paintings/training/Portrait/p205.jpg,2
../Image Data/Paintings/training/Portrait/p211.jpg,2
../Image Data/Paintings/training/Portrait/p210.jpg,0
../Image Data/Paintings/training/Portrait/p204.jpg,0
../Image Data/Paintings/training/Portrait/p13.jpg,1
../Image Data/Paintings/training/Portrait/p199.jpg,0
../Image Data/Paintings/training/Portrait/p166.jpg,2
../Image Data/Paintings/training/Portrait/p172.jpg,3
../Image Data/Paintings/training/Portrait/p158.jpg,2
../Image Data/Paintings/training/Portrait/p164.jpg,2
../Image Data/Paintings/training/Portrait/p170.jpg,2
../Image Data/Paintings/training/Portrait/p11.jpg,2
../Image Data/Paintings/training/Portrait/p212.jpg,1
../Image Data/Paintings/training/Portrait/p39.jpg,2
../Image Data/Paintings/training/Portrait/p206.jpg,0
../Image Data/Paintings/training/Portrait/p207.jpg,1
../Image Data/Paintings/training/Portrait/p38.jpg,0
../Image Data/Paintings/training/Portrait/p213.jpg,3
../Image Data/Paintings/training/Portrait/p10.jpg,1
../Image Data/Paintings/training/Portrait/p171.jpg,1
../Image Data/Paintings/training/Portrait/p165.jpg,1
../Image Data/Paintings/training/Portrait/p159.jpg,0
../Image Data/Paintings/training/Portrait/p161.jpg,1
../Image Data/Paintings/training/Portrait/p175.jpg,3
../Image Data/Paintings/training/Portrait/p149.jpg,1
../Image Data/Paintings/training/Portrait/p28.jpg,0
../Image Data/Paintings/training/Portrait/p217.jpg,1
../Image Data/Paintings/training/Portrait/p203.jpg,2
../Image Data/Paintings/training/Portrait/p14.jpg,1
../Image Data/Paintings/training/Portrait/p15.jpg,2
../Image Data/Paintings/training/Portrait/p202.jpg,0
../Image Data/Paintings/training/Portrait/p216.jpg,1
../Image Data/Paintings/training/Portrait/p29.jpg,1
../Image Data/Paintings/training/Portrait/p148.jpg,1
../Image Data/Paintings/training/Portrait/p174.jpg,0
../Image Data/Paintings/training/Portrait/p160.jpg,3
../Image Data/Paintings/training/Portrait/p176.jpg,0
../Image Data/Paintings/training/Portrait/p162.jpg,3
../Image Data/Paintings/training/Portrait/p189.jpg,2
../Image Data/Paintings/training/Portrait/p200.jpg,1
../Image Data/Paintings/training/Portrait/p214.jpg,1
../Image Data/Paintings/training/Portrait/p17.jpg,1
../Image Data/Paintings/training/Portrait/p16.jpg,1
../Image Data/Paintings/training/Portrait/p215.jpg,1
../Image Data/Paintings/training/Portrait/p201.jpg,1
../Image Data/Paintings/training/Portrait/p188.jpg,1
../Image Data/Paintings/training/Portrait/p163.jpg,1
../Image Data/Paintings/training/Portrait/p177.jpg,2
../Image Data/Paintings/training/Portrait/p138.jpg,1
../Image Data/Paintings/training/Portrait/p110.jpg,1
../Image Data/Paintings/training/Portrait/p104.jpg,2
../Image Data/Paintings/training/Portrait/p65.jpg,2
../Image Data/Paintings/training/Portrait/p71.jpg,1
../Image Data/Paintings/training/Portrait/p59.jpg,0
../Image Data/Paintings/training/Portrait/p58.jpg,2
../Image Data/Paintings/training/Portrait/p70.jpg,2
../Image Data/Paintings/training/Portrait/p64.jpg,1
../Image Data/Paintings/training/Portrait/p105.jpg,2
../Image Data/Paintings/training/Portrait/p111.jpg,1
../Image Data/Paintings/training/Portrait/p139.jpg,1
../Image Data/Paintings/training/Portrait/p107.jpg,3
../Image Data/Paintings/training/Portrait/p113.jpg,0
../Image Data/Paintings/training/Portrait/p9.jpg,2
../Image Data/Paintings/training/Portrait/p72.jpg,3
../Image Data/Paintings/training/Portrait/p66.jpg,1
../Image Data/Paintings/training/Portrait/p99.jpg,2
../Image Data/Paintings/training/Portrait/p98.jpg,1
../Image Data/Paintings/training/Portrait/p67.jpg,0
../Image Data/Paintings/training/Portrait/p73.jpg,1
../Image Data/Paintings/training/Portrait/p8.jpg,1
../Image Data/Paintings/training/Portrait/p112.jpg,1
../Image Data/Paintings/training/Portrait/p106.jpg,1
../Image Data/Paintings/training/Portrait/p102.jpg,2
../Image Data/Paintings/training/Portrait/p116.jpg,1
../Image Data/Paintings/training/Portrait/p77.jpg,1
../Image Data/Paintings/training/Portrait/p63.jpg,2
../Image Data/Paintings/training/Portrait/p88.jpg,2
../Image Data/Paintings/training/Portrait/p89.jpg,0
../Image Data/Paintings/training/Portrait/p62.jpg,0
../Image Data/Paintings/training/Portrait/p76.jpg,0
../Image Data/Paintings/training/Portrait/p117.jpg,0
../Image Data/Paintings/training/Portrait/p103.jpg,1
../Image Data/Paintings/training/Portrait/p115.jpg,2
../Image Data/Paintings/training/Portrait/p101.jpg,2
../Image Data/Paintings/training/Portrait/p129.jpg,0
../Image Data/Paintings/training/Portrait/p48.jpg,2
../Image Data/Paintings/training/Portrait/p60.jpg,2
../Image Data/Paintings/training/Portrait/p74.jpg,1
../Image Data/Paintings/training/Portrait/p75.jpg,2
../Image Data/Paintings/training/Portrait/p61.jpg,2
../Image Data/Paintings/training/Portrait/p49.jpg,1
../Image Data/Paintings/training/Portrait/p128.jpg,2
../Image Data/Paintings/training/Portrait/p100.jpg,0
../Image Data/Paintings/training/Portrait/p114.jpg,2
../Image Data/Paintings/training/Portrait/p119.jpg,1
../Image Data/Paintings/training/Portrait/p131.jpg,1
../Image Data/Paintings/training/Portrait/p125.jpg,0
../Image Data/Paintings/training/Portrait/p3.jpg,1
../Image Data/Paintings/training/Portrait/p44.jpg,3
../Image Data/Paintings/training/Portrait/p50.jpg,0
../Image Data/Paintings/training/Portrait/p78.jpg,0
../Image Data/Paintings/training/Portrait/p87.jpg,3
../Image Data/Paintings/training/Portrait/p93.jpg,1
../Image Data/Paintings/training/Portrait/p92.jpg,1
../Image Data/Paintings/training/Portrait/p86.jpg,3
../Image Data/Paintings/training/Portrait/p79.jpg,1
../Image Data/Paintings/training/Portrait/p51.jpg,2
../Image Data/Paintings/training/Portrait/p45.jpg,2
../Image Data/Paintings/training/Portrait/p2.jpg,2
../Image Data/Paintings/training/Portrait/p124.jpg,2
../Image Data/Paintings/training/Portrait/p130.jpg,2
../Image Data/Paintings/training/Portrait/p118.jpg,1
../Image Data/Paintings/training/Portrait/p126.jpg,2
../Image Data/Paintings/training/Portrait/p132.jpg,0
../Image Data/Paintings/training/Portrait/p53.jpg,3
../Image Data/Paintings/training/Portrait/p47.jpg,1
../Image Data/Paintings/training/Portrait/p90.jpg,1
../Image Data/Paintings/training/Portrait/p84.jpg,0
../Image Data/Paintings/training/Portrait/p85.jpg,0
../Image Data/Paintings/training/Portrait/p91.jpg,1
../Image Data/Paintings/training/Portrait/p46.jpg,1
../Image Data/Paintings/training/Portrait/p52.jpg,1
../Image Data/Paintings/training/Portrait/p1.jpg,1
../Image Data/Paintings/training/Portrait/p133.jpg,0
../Image Data/Paintings/training/Portrait/p127.jpg,0
../Image Data/Paintings/training/Portrait/p123.jpg,1
../Image Data/Paintings/training/Portrait/p137.jpg,0
../Image Data/Paintings/training/Portrait/p5.jpg,3
../Image Data/Paintings/training/Portrait/p56.jpg,0
../Image Data/Paintings/training/Portrait/p42.jpg,2
../Image Data/Paintings/training/Portrait/p95.jpg,0
../Image Data/Paintings/training/Portrait/p81.jpg,1
../Image Data/Paintings/training/Portrait/p80.jpg,1
../Image Data/Paintings/training/Portrait/p94.jpg,2
../Image Data/Paintings/training/Portrait/p43.jpg,2
../Image Data/Paintings/training/Portrait/p57.jpg,2
../Image Data/Paintings/training/Portrait/p4.jpg,0
../Image Data/Paintings/training/Portrait/p136.jpg,2
../Image Data/Paintings/training/Portrait/p122.jpg,0
../Image Data/Paintings/training/Portrait/p134.jpg,0
../Image Data/Paintings/training/Portrait/p120.jpg,1
../Image Data/Paintings/training/Portrait/p108.jpg,1
../Image Data/Paintings/training/Portrait/p6.jpg,2
../Image Data/Paintings/training/Portrait/p69.jpg,1
../Image Data/Paintings/training/Portrait/p41.jpg,2
../Image Data/Paintings/training/Portrait/p55.jpg,1
../Image Data/Paintings/training/Portrait/p82.jpg,1
../Image Data/Paintings/training/Portrait/p96.jpg,1
../Image Data/Paintings/training/Portrait/p97.jpg,2
../Image Data/Paintings/training/Portrait/p83.jpg,2
../Image Data/Paintings/training/Portrait/p54.jpg,2
../Image Data/Paintings/training/Portrait/p40.jpg,1
../Image Data/Paintings/training/Portrait/p68.jpg,3
../Image Data/Paintings/training/Portrait/p7.jpg,2
../Image Data/Paintings/training/Portrait/p109.jpg,2
../Image Data/Paintings/training/Portrait/p121.jpg,0
../Image Data/Paintings/training/Portrait/p135.jpg,3
../Image Data/Paintings/training/Portrait/p152.jpg,1
../Image Data/Paintings/training/Portrait/p146.jpg,1
