Image_Path,Cluster_Label
../Image Data/Monuments/train/Sun Temple Konark/(24).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(73).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(65).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(32).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(49).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(120).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(136).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(9).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(28).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(116).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(141).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(90).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(69).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(157).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(86).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(100).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(45).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(12).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(53).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(5).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(52).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(4).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(13).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(44).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(101).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(68).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(156).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(87).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(140).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(91).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(29).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(117).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(8).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(137).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(121).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(48).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(33).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(64).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(72).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(25).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(110).jpg,1
../Image Data/Monuments/train/Sun Temple Konark/(147).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(79).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(96).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(151).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(80).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(106).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(38).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(43).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(14).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(3).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(55).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(22).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(75).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(63).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(34).jpg,2
../Image Data/Monuments/train/Sun Temple Konark/(126).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(18).jpg,0
../Image Data/Monuments/train/Sun Temple Konark/(130).jpg,2
