Image_Path,Cluster_Label
../Image Data/Paintings/training/Tanjore/p173.jpg,2
../Image Data/Paintings/training/Tanjore/p167.jpg,0
../Image Data/Paintings/training/Tanjore/p198.jpg,1
../Image Data/Paintings/training/Tanjore/p12.jpg,1
../Image Data/Paintings/training/Tanjore/p205.jpg,1
../Image Data/Paintings/training/Tanjore/p211.jpg,1
../Image Data/Paintings/training/Tanjore/p210.jpg,1
../Image Data/Paintings/training/Tanjore/p204.jpg,1
../Image Data/Paintings/training/Tanjore/p13.jpg,2
../Image Data/Paintings/training/Tanjore/p199.jpg,1
../Image Data/Paintings/training/Tanjore/p166.jpg,2
../Image Data/Paintings/training/Tanjore/p172.jpg,2
../Image Data/Paintings/training/Tanjore/p158.jpg,1
../Image Data/Paintings/training/Tanjore/p164.jpg,2
../Image Data/Paintings/training/Tanjore/p170.jpg,1
../Image Data/Paintings/training/Tanjore/p11.jpg,0
../Image Data/Paintings/training/Tanjore/p212.jpg,1
../Image Data/Paintings/training/Tanjore/p39.jpg,2
../Image Data/Paintings/training/Tanjore/p206.jpg,2
../Image Data/Paintings/training/Tanjore/p207.jpg,1
../Image Data/Paintings/training/Tanjore/p38.jpg,1
../Image Data/Paintings/training/Tanjore/p213.jpg,1
../Image Data/Paintings/training/Tanjore/p10.jpg,1
../Image Data/Paintings/training/Tanjore/p171.jpg,2
../Image Data/Paintings/training/Tanjore/p165.jpg,1
../Image Data/Paintings/training/Tanjore/p159.jpg,2
../Image Data/Paintings/training/Tanjore/p161.jpg,2
../Image Data/Paintings/training/Tanjore/p175.jpg,2
../Image Data/Paintings/training/Tanjore/p149.jpg,2
../Image Data/Paintings/training/Tanjore/p28.jpg,1
../Image Data/Paintings/training/Tanjore/p217.jpg,2
../Image Data/Paintings/training/Tanjore/p203.jpg,0
../Image Data/Paintings/training/Tanjore/p14.jpg,1
../Image Data/Paintings/training/Tanjore/p15.jpg,1
../Image Data/Paintings/training/Tanjore/p202.jpg,2
../Image Data/Paintings/training/Tanjore/p216.jpg,2
../Image Data/Paintings/training/Tanjore/p29.jpg,1
../Image Data/Paintings/training/Tanjore/p148.jpg,2
../Image Data/Paintings/training/Tanjore/p174.jpg,1
../Image Data/Paintings/training/Tanjore/p160.jpg,0
../Image Data/Paintings/training/Tanjore/p176.jpg,1
../Image Data/Paintings/training/Tanjore/p162.jpg,2
../Image Data/Paintings/training/Tanjore/p189.jpg,2
../Image Data/Paintings/training/Tanjore/p200.jpg,2
../Image Data/Paintings/training/Tanjore/p214.jpg,1
../Image Data/Paintings/training/Tanjore/p17.jpg,1
../Image Data/Paintings/training/Tanjore/p16.jpg,1
../Image Data/Paintings/training/Tanjore/p215.jpg,1
../Image Data/Paintings/training/Tanjore/p201.jpg,0
../Image Data/Paintings/training/Tanjore/p188.jpg,1
../Image Data/Paintings/training/Tanjore/p163.jpg,0
../Image Data/Paintings/training/Tanjore/p177.jpg,2
../Image Data/Paintings/training/Tanjore/p138.jpg,1
../Image Data/Paintings/training/Tanjore/p110.jpg,2
../Image Data/Paintings/training/Tanjore/p104.jpg,2
../Image Data/Paintings/training/Tanjore/p65.jpg,0
../Image Data/Paintings/training/Tanjore/p71.jpg,0
../Image Data/Paintings/training/Tanjore/p59.jpg,1
../Image Data/Paintings/training/Tanjore/p58.jpg,0
../Image Data/Paintings/training/Tanjore/p70.jpg,1
../Image Data/Paintings/training/Tanjore/p64.jpg,1
../Image Data/Paintings/training/Tanjore/p105.jpg,0
../Image Data/Paintings/training/Tanjore/p111.jpg,1
../Image Data/Paintings/training/Tanjore/p139.jpg,0
../Image Data/Paintings/training/Tanjore/p107.jpg,1
../Image Data/Paintings/training/Tanjore/p113.jpg,1
../Image Data/Paintings/training/Tanjore/p9.jpg,2
../Image Data/Paintings/training/Tanjore/p72.jpg,0
../Image Data/Paintings/training/Tanjore/p66.jpg,0
../Image Data/Paintings/training/Tanjore/p99.jpg,1
../Image Data/Paintings/training/Tanjore/p98.jpg,1
../Image Data/Paintings/training/Tanjore/p67.jpg,2
../Image Data/Paintings/training/Tanjore/p73.jpg,0
../Image Data/Paintings/training/Tanjore/p8.jpg,2
../Image Data/Paintings/training/Tanjore/p112.jpg,1
../Image Data/Paintings/training/Tanjore/p106.jpg,0
../Image Data/Paintings/training/Tanjore/p102.jpg,2
../Image Data/Paintings/training/Tanjore/p116.jpg,0
../Image Data/Paintings/training/Tanjore/p77.jpg,1
../Image Data/Paintings/training/Tanjore/p63.jpg,0
../Image Data/Paintings/training/Tanjore/p88.jpg,2
../Image Data/Paintings/training/Tanjore/p89.jpg,2
../Image Data/Paintings/training/Tanjore/p62.jpg,0
../Image Data/Paintings/training/Tanjore/p76.jpg,2
../Image Data/Paintings/training/Tanjore/p117.jpg,2
../Image Data/Paintings/training/Tanjore/p103.jpg,2
../Image Data/Paintings/training/Tanjore/p115.jpg,0
../Image Data/Paintings/training/Tanjore/p101.jpg,1
../Image Data/Paintings/training/Tanjore/p129.jpg,1
../Image Data/Paintings/training/Tanjore/p48.jpg,0
../Image Data/Paintings/training/Tanjore/p60.jpg,1
../Image Data/Paintings/training/Tanjore/p74.jpg,1
../Image Data/Paintings/training/Tanjore/p75.jpg,1
../Image Data/Paintings/training/Tanjore/p61.jpg,1
../Image Data/Paintings/training/Tanjore/p49.jpg,0
../Image Data/Paintings/training/Tanjore/p128.jpg,1
../Image Data/Paintings/training/Tanjore/p100.jpg,1
../Image Data/Paintings/training/Tanjore/p114.jpg,0
../Image Data/Paintings/training/Tanjore/p119.jpg,2
../Image Data/Paintings/training/Tanjore/p131.jpg,1
../Image Data/Paintings/training/Tanjore/p125.jpg,1
../Image Data/Paintings/training/Tanjore/p3.jpg,1
../Image Data/Paintings/training/Tanjore/p44.jpg,0
../Image Data/Paintings/training/Tanjore/p50.jpg,2
../Image Data/Paintings/training/Tanjore/p78.jpg,1
../Image Data/Paintings/training/Tanjore/p87.jpg,0
../Image Data/Paintings/training/Tanjore/p93.jpg,2
../Image Data/Paintings/training/Tanjore/p92.jpg,0
../Image Data/Paintings/training/Tanjore/p86.jpg,1
../Image Data/Paintings/training/Tanjore/p79.jpg,0
../Image Data/Paintings/training/Tanjore/p51.jpg,0
../Image Data/Paintings/training/Tanjore/p45.jpg,1
../Image Data/Paintings/training/Tanjore/p2.jpg,1
../Image Data/Paintings/training/Tanjore/p124.jpg,1
../Image Data/Paintings/training/Tanjore/p130.jpg,0
../Image Data/Paintings/training/Tanjore/p118.jpg,0
../Image Data/Paintings/training/Tanjore/p126.jpg,0
../Image Data/Paintings/training/Tanjore/p132.jpg,1
../Image Data/Paintings/training/Tanjore/p53.jpg,0
../Image Data/Paintings/training/Tanjore/p47.jpg,2
../Image Data/Paintings/training/Tanjore/p90.jpg,1
../Image Data/Paintings/training/Tanjore/p84.jpg,0
../Image Data/Paintings/training/Tanjore/p85.jpg,1
../Image Data/Paintings/training/Tanjore/p91.jpg,0
../Image Data/Paintings/training/Tanjore/p46.jpg,0
../Image Data/Paintings/training/Tanjore/p52.jpg,0
../Image Data/Paintings/training/Tanjore/p1.jpg,2
../Image Data/Paintings/training/Tanjore/p133.jpg,1
../Image Data/Paintings/training/Tanjore/p127.jpg,1
../Image Data/Paintings/training/Tanjore/p123.jpg,1
../Image Data/Paintings/training/Tanjore/p137.jpg,0
../Image Data/Paintings/training/Tanjore/p5.jpg,1
../Image Data/Paintings/training/Tanjore/p56.jpg,0
../Image Data/Paintings/training/Tanjore/p42.jpg,0
../Image Data/Paintings/training/Tanjore/p95.jpg,1
../Image Data/Paintings/training/Tanjore/p81.jpg,0
../Image Data/Paintings/training/Tanjore/p80.jpg,0
../Image Data/Paintings/training/Tanjore/p94.jpg,2
../Image Data/Paintings/training/Tanjore/p43.jpg,2
../Image Data/Paintings/training/Tanjore/p57.jpg,2
../Image Data/Paintings/training/Tanjore/p4.jpg,1
../Image Data/Paintings/training/Tanjore/p136.jpg,0
../Image Data/Paintings/training/Tanjore/p122.jpg,1
../Image Data/Paintings/training/Tanjore/p134.jpg,0
../Image Data/Paintings/training/Tanjore/p120.jpg,0
../Image Data/Paintings/training/Tanjore/p108.jpg,1
../Image Data/Paintings/training/Tanjore/p6.jpg,2
../Image Data/Paintings/training/Tanjore/p69.jpg,2
../Image Data/Paintings/training/Tanjore/p41.jpg,2
../Image Data/Paintings/training/Tanjore/p55.jpg,1
../Image Data/Paintings/training/Tanjore/p82.jpg,0
../Image Data/Paintings/training/Tanjore/p96.jpg,1
