Image_Path,Cluster_Label
../Image Data/Paintings/training/Warli/p173.jpg,4
../Image Data/Paintings/training/Warli/p167.jpg,4
../Image Data/Paintings/training/Warli/p198.jpg,1
../Image Data/Paintings/training/Warli/p12.jpg,2
../Image Data/Paintings/training/Warli/p205.jpg,0
../Image Data/Paintings/training/Warli/p211.jpg,0
../Image Data/Paintings/training/Warli/p210.jpg,0
../Image Data/Paintings/training/Warli/p204.jpg,3
../Image Data/Paintings/training/Warli/p13.jpg,2
../Image Data/Paintings/training/Warli/p199.jpg,3
../Image Data/Paintings/training/Warli/p166.jpg,0
../Image Data/Paintings/training/Warli/p172.jpg,4
../Image Data/Paintings/training/Warli/p158.jpg,2
../Image Data/Paintings/training/Warli/p164.jpg,1
../Image Data/Paintings/training/Warli/p170.jpg,2
../Image Data/Paintings/training/Warli/p11.jpg,3
../Image Data/Paintings/training/Warli/p212.jpg,2
../Image Data/Paintings/training/Warli/p39.jpg,0
../Image Data/Paintings/training/Warli/p206.jpg,1
../Image Data/Paintings/training/Warli/p207.jpg,0
../Image Data/Paintings/training/Warli/p38.jpg,3
../Image Data/Paintings/training/Warli/p213.jpg,0
../Image Data/Paintings/training/Warli/p10.jpg,3
../Image Data/Paintings/training/Warli/p171.jpg,3
../Image Data/Paintings/training/Warli/p165.jpg,0
../Image Data/Paintings/training/Warli/p159.jpg,0
../Image Data/Paintings/training/Warli/p161.jpg,0
../Image Data/Paintings/training/Warli/p175.jpg,4
../Image Data/Paintings/training/Warli/p149.jpg,0
../Image Data/Paintings/training/Warli/p28.jpg,3
../Image Data/Paintings/training/Warli/p217.jpg,0
../Image Data/Paintings/training/Warli/p203.jpg,2
../Image Data/Paintings/training/Warli/p14.jpg,2
../Image Data/Paintings/training/Warli/p15.jpg,1
../Image Data/Paintings/training/Warli/p202.jpg,3
../Image Data/Paintings/training/Warli/p216.jpg,0
../Image Data/Paintings/training/Warli/p29.jpg,0
../Image Data/Paintings/training/Warli/p148.jpg,2
../Image Data/Paintings/training/Warli/p174.jpg,2
../Image Data/Paintings/training/Warli/p160.jpg,2
../Image Data/Paintings/training/Warli/p176.jpg,0
../Image Data/Paintings/training/Warli/p162.jpg,0
../Image Data/Paintings/training/Warli/p189.jpg,2
../Image Data/Paintings/training/Warli/p200.jpg,0
../Image Data/Paintings/training/Warli/p214.jpg,3
../Image Data/Paintings/training/Warli/p17.jpg,2
../Image Data/Paintings/training/Warli/p16.jpg,3
../Image Data/Paintings/training/Warli/p215.jpg,0
../Image Data/Paintings/training/Warli/p201.jpg,2
../Image Data/Paintings/training/Warli/p188.jpg,2
../Image Data/Paintings/training/Warli/p163.jpg,3
../Image Data/Paintings/training/Warli/p177.jpg,3
../Image Data/Paintings/training/Warli/p138.jpg,2
../Image Data/Paintings/training/Warli/p110.jpg,4
../Image Data/Paintings/training/Warli/p104.jpg,2
../Image Data/Paintings/training/Warli/p65.jpg,4
../Image Data/Paintings/training/Warli/p71.jpg,2
../Image Data/Paintings/training/Warli/p59.jpg,3
../Image Data/Paintings/training/Warli/p58.jpg,0
../Image Data/Paintings/training/Warli/p70.jpg,0
../Image Data/Paintings/training/Warli/p64.jpg,1
../Image Data/Paintings/training/Warli/p105.jpg,0
../Image Data/Paintings/training/Warli/p111.jpg,3
../Image Data/Paintings/training/Warli/p139.jpg,0
../Image Data/Paintings/training/Warli/p107.jpg,1
../Image Data/Paintings/training/Warli/p113.jpg,0
../Image Data/Paintings/training/Warli/p9.jpg,0
../Image Data/Paintings/training/Warli/p72.jpg,2
../Image Data/Paintings/training/Warli/p66.jpg,1
../Image Data/Paintings/training/Warli/p99.jpg,0
../Image Data/Paintings/training/Warli/p98.jpg,2
../Image Data/Paintings/training/Warli/p67.jpg,2
../Image Data/Paintings/training/Warli/p73.jpg,0
../Image Data/Paintings/training/Warli/p8.jpg,0
../Image Data/Paintings/training/Warli/p112.jpg,0
../Image Data/Paintings/training/Warli/p106.jpg,0
../Image Data/Paintings/training/Warli/p102.jpg,4
../Image Data/Paintings/training/Warli/p116.jpg,0
../Image Data/Paintings/training/Warli/p77.jpg,2
../Image Data/Paintings/training/Warli/p63.jpg,3
../Image Data/Paintings/training/Warli/p88.jpg,0
../Image Data/Paintings/training/Warli/p89.jpg,3
../Image Data/Paintings/training/Warli/p62.jpg,2
../Image Data/Paintings/training/Warli/p76.jpg,2
../Image Data/Paintings/training/Warli/p117.jpg,1
../Image Data/Paintings/training/Warli/p103.jpg,2
../Image Data/Paintings/training/Warli/p115.jpg,0
../Image Data/Paintings/training/Warli/p101.jpg,2
../Image Data/Paintings/training/Warli/p129.jpg,0
../Image Data/Paintings/training/Warli/p48.jpg,4
../Image Data/Paintings/training/Warli/p60.jpg,0
../Image Data/Paintings/training/Warli/p74.jpg,0
../Image Data/Paintings/training/Warli/p75.jpg,0
../Image Data/Paintings/training/Warli/p61.jpg,0
../Image Data/Paintings/training/Warli/p49.jpg,3
../Image Data/Paintings/training/Warli/p128.jpg,2
../Image Data/Paintings/training/Warli/p100.jpg,2
../Image Data/Paintings/training/Warli/p114.jpg,3
../Image Data/Paintings/training/Warli/p119.jpg,2
../Image Data/Paintings/training/Warli/p131.jpg,0
../Image Data/Paintings/training/Warli/p125.jpg,0
../Image Data/Paintings/training/Warli/p3.jpg,0
../Image Data/Paintings/training/Warli/p44.jpg,2
../Image Data/Paintings/training/Warli/p50.jpg,4
../Image Data/Paintings/training/Warli/p78.jpg,2
../Image Data/Paintings/training/Warli/p87.jpg,0
../Image Data/Paintings/training/Warli/p93.jpg,0
../Image Data/Paintings/training/Warli/p92.jpg,4
../Image Data/Paintings/training/Warli/p86.jpg,3
../Image Data/Paintings/training/Warli/p79.jpg,3
../Image Data/Paintings/training/Warli/p51.jpg,2
../Image Data/Paintings/training/Warli/p45.jpg,1
../Image Data/Paintings/training/Warli/p2.jpg,3
../Image Data/Paintings/training/Warli/p124.jpg,1
../Image Data/Paintings/training/Warli/p130.jpg,2
../Image Data/Paintings/training/Warli/p118.jpg,0
../Image Data/Paintings/training/Warli/p126.jpg,3
../Image Data/Paintings/training/Warli/p132.jpg,4
../Image Data/Paintings/training/Warli/p53.jpg,2
../Image Data/Paintings/training/Warli/p47.jpg,0
../Image Data/Paintings/training/Warli/p90.jpg,3
../Image Data/Paintings/training/Warli/p84.jpg,4
../Image Data/Paintings/training/Warli/p85.jpg,0
../Image Data/Paintings/training/Warli/p91.jpg,3
../Image Data/Paintings/training/Warli/p46.jpg,3
../Image Data/Paintings/training/Warli/p52.jpg,1
../Image Data/Paintings/training/Warli/p1.jpg,3
../Image Data/Paintings/training/Warli/p133.jpg,3
../Image Data/Paintings/training/Warli/p127.jpg,1
../Image Data/Paintings/training/Warli/p123.jpg,4
../Image Data/Paintings/training/Warli/p137.jpg,2
../Image Data/Paintings/training/Warli/p5.jpg,3
../Image Data/Paintings/training/Warli/p56.jpg,0
../Image Data/Paintings/training/Warli/p42.jpg,3
../Image Data/Paintings/training/Warli/p95.jpg,2
../Image Data/Paintings/training/Warli/p81.jpg,2
../Image Data/Paintings/training/Warli/p80.jpg,0
../Image Data/Paintings/training/Warli/p94.jpg,2
../Image Data/Paintings/training/Warli/p43.jpg,4
../Image Data/Paintings/training/Warli/p57.jpg,2
../Image Data/Paintings/training/Warli/p4.jpg,2
../Image Data/Paintings/training/Warli/p136.jpg,2
../Image Data/Paintings/training/Warli/p122.jpg,4
../Image Data/Paintings/training/Warli/p134.jpg,2
../Image Data/Paintings/training/Warli/p120.jpg,0
../Image Data/Paintings/training/Warli/p108.jpg,2
../Image Data/Paintings/training/Warli/p6.jpg,1
../Image Data/Paintings/training/Warli/p69.jpg,2
../Image Data/Paintings/training/Warli/p41.jpg,0
../Image Data/Paintings/training/Warli/p55.jpg,0
../Image Data/Paintings/training/Warli/p82.jpg,0
../Image Data/Paintings/training/Warli/p96.jpg,4
../Image Data/Paintings/training/Warli/p97.jpg,2
../Image Data/Paintings/training/Warli/p83.jpg,0
../Image Data/Paintings/training/Warli/p54.jpg,2
../Image Data/Paintings/training/Warli/p40.jpg,2
../Image Data/Paintings/training/Warli/p68.jpg,0
../Image Data/Paintings/training/Warli/p7.jpg,2
../Image Data/Paintings/training/Warli/p109.jpg,0
../Image Data/Paintings/training/Warli/p121.jpg,2
../Image Data/Paintings/training/Warli/p135.jpg,1
../Image Data/Paintings/training/Warli/p152.jpg,0
../Image Data/Paintings/training/Warli/p146.jpg,2
../Image Data/Paintings/training/Warli/p191.jpg,2
../Image Data/Paintings/training/Warli/p185.jpg,2
../Image Data/Paintings/training/Warli/p27.jpg,0
../Image Data/Paintings/training/Warli/p218.jpg,0
../Image Data/Paintings/training/Warli/p33.jpg,0
../Image Data/Paintings/training/Warli/p32.jpg,4
../Image Data/Paintings/training/Warli/p219.jpg,0
../Image Data/Paintings/training/Warli/p26.jpg,2
../Image Data/Paintings/training/Warli/p184.jpg,2
../Image Data/Paintings/training/Warli/p190.jpg,1
../Image Data/Paintings/training/Warli/p147.jpg,1
../Image Data/Paintings/training/Warli/p153.jpg,2
../Image Data/Paintings/training/Warli/p179.jpg,1
../Image Data/Paintings/training/Warli/p145.jpg,3
