Image_Path,Cluster_Label
../Image Data/Monuments/train/alai_darwaza/img119.jpg,0
../Image Data/Monuments/train/alai_darwaza/img125.jpg,1
../Image Data/Monuments/train/alai_darwaza/img22.jpg,0
../Image Data/Monuments/train/alai_darwaza/img37.jpg,1
../Image Data/Monuments/train/alai_darwaza/img130.jpg,0
../Image Data/Monuments/train/alai_darwaza/img35.jpg,2
../Image Data/Monuments/train/alai_darwaza/img21.jpg,0
../Image Data/Monuments/train/alai_darwaza/img20.jpg,2
../Image Data/Monuments/train/alai_darwaza/img34.jpg,1
../Image Data/Monuments/train/alai_darwaza/img127.jpg,0
../Image Data/Monuments/train/alai_darwaza/img30.jpg,2
../Image Data/Monuments/train/alai_darwaza/img24.jpg,1
../Image Data/Monuments/train/alai_darwaza/img18.jpg,0
../Image Data/Monuments/train/alai_darwaza/img19.jpg,1
../Image Data/Monuments/train/alai_darwaza/img31.jpg,0
../Image Data/Monuments/train/alai_darwaza/img122.jpg,1
../Image Data/Monuments/train/alai_darwaza/img27.jpg,1
../Image Data/Monuments/train/alai_darwaza/img32.jpg,1
../Image Data/Monuments/train/alai_darwaza/img26.jpg,1
../Image Data/Monuments/train/alai_darwaza/img109.jpg,1
../Image Data/Monuments/train/alai_darwaza/img121.jpg,1
../Image Data/Monuments/train/alai_darwaza/img55.jpg,1
../Image Data/Monuments/train/alai_darwaza/img97.jpg,1
../Image Data/Monuments/train/alai_darwaza/img151.jpg,0
../Image Data/Monuments/train/alai_darwaza/img56.jpg,1
../Image Data/Monuments/train/alai_darwaza/img42.jpg,0
../Image Data/Monuments/train/alai_darwaza/img95.jpg,0
../Image Data/Monuments/train/alai_darwaza/img80.jpg,0
../Image Data/Monuments/train/alai_darwaza/img43.jpg,2
../Image Data/Monuments/train/alai_darwaza/img150.jpg,1
../Image Data/Monuments/train/alai_darwaza/img52.jpg,1
../Image Data/Monuments/train/alai_darwaza/img141.jpg,0
../Image Data/Monuments/train/alai_darwaza/img9.jpg,0
../Image Data/Monuments/train/alai_darwaza/img8.jpg,0
../Image Data/Monuments/train/alai_darwaza/img92.jpg,1
../Image Data/Monuments/train/alai_darwaza/img86.jpg,0
../Image Data/Monuments/train/alai_darwaza/img51.jpg,0
../Image Data/Monuments/train/alai_darwaza/img167.jpg,1
../Image Data/Monuments/train/alai_darwaza/img5.jpg,0
../Image Data/Monuments/train/alai_darwaza/img4.jpg,1
../Image Data/Monuments/train/alai_darwaza/img75.jpg,1
../Image Data/Monuments/train/alai_darwaza/img61.jpg,0
../Image Data/Monuments/train/alai_darwaza/img158.jpg,0
../Image Data/Monuments/train/alai_darwaza/img88.jpg,1
../Image Data/Monuments/train/alai_darwaza/img6.jpg,1
../Image Data/Monuments/train/alai_darwaza/img7.jpg,1
../Image Data/Monuments/train/alai_darwaza/img89.jpg,0
../Image Data/Monuments/train/alai_darwaza/img76.jpg,1
../Image Data/Monuments/train/alai_darwaza/img165.jpg,0
../Image Data/Monuments/train/alai_darwaza/img99.jpg,1
../Image Data/Monuments/train/alai_darwaza/img3.jpg,1
../Image Data/Monuments/train/alai_darwaza/img2.jpg,1
../Image Data/Monuments/train/alai_darwaza/img1.jpg,1
../Image Data/Monuments/train/alai_darwaza/img110.jpg,0
../Image Data/Monuments/train/alai_darwaza/img16.jpg,1
../Image Data/Monuments/train/alai_darwaza/img107.jpg,0
../Image Data/Monuments/train/alai_darwaza/img113.jpg,1
../Image Data/Monuments/train/alai_darwaza/img28.jpg,0
../Image Data/Monuments/train/alai_darwaza/img14.jpg,1
../Image Data/Monuments/train/alai_darwaza/img29.jpg,1
../Image Data/Monuments/train/alai_darwaza/img106.jpg,2
../Image Data/Monuments/train/alai_darwaza/img102.jpg,0
../Image Data/Monuments/train/alai_darwaza/img11.jpg,1
../Image Data/Monuments/train/alai_darwaza/img39.jpg,1
../Image Data/Monuments/train/alai_darwaza/img57.jpeg,0
../Image Data/Monuments/train/alai_darwaza/img10.jpg,1
../Image Data/Monuments/train/alai_darwaza/img115.jpg,1
../Image Data/Monuments/train/alai_darwaza/img101.jpg,0
../Image Data/Monuments/train/alai_darwaza/img12.jpg,1
../Image Data/Monuments/train/alai_darwaza/img13.jpg,1
