Image_Path,Cluster_Label
../Image Data/Monuments/train/alai_minar/img131.jpg,2
../Image Data/Monuments/train/alai_minar/img22.jpg,2
../Image Data/Monuments/train/alai_minar/img36.jpg,2
../Image Data/Monuments/train/alai_minar/img37.jpg,1
../Image Data/Monuments/train/alai_minar/img23.jpg,1
../Image Data/Monuments/train/alai_minar/img118.jpg,1
../Image Data/Monuments/train/alai_minar/img126.jpg,2
../Image Data/Monuments/train/alai_minar/img35.jpg,2
../Image Data/Monuments/train/alai_minar/img21.jpg,2
../Image Data/Monuments/train/alai_minar/img20.jpg,0
../Image Data/Monuments/train/alai_minar/img127.jpg,2
../Image Data/Monuments/train/alai_minar/img39.jpeg,2
../Image Data/Monuments/train/alai_minar/img123.jpg,0
../Image Data/Monuments/train/alai_minar/img137.jpg,1
../Image Data/Monuments/train/alai_minar/img30.jpg,2
../Image Data/Monuments/train/alai_minar/img24.jpg,1
../Image Data/Monuments/train/alai_minar/img18.jpg,2
../Image Data/Monuments/train/alai_minar/img19.jpg,2
../Image Data/Monuments/train/alai_minar/img31.jpg,0
../Image Data/Monuments/train/alai_minar/img136.jpg,2
../Image Data/Monuments/train/alai_minar/img25.png,0
../Image Data/Monuments/train/alai_minar/img108.jpg,0
../Image Data/Monuments/train/alai_minar/img27.jpg,0
../Image Data/Monuments/train/alai_minar/img33.jpg,0
../Image Data/Monuments/train/alai_minar/img32.jpg,2
../Image Data/Monuments/train/alai_minar/img26.jpg,2
../Image Data/Monuments/train/alai_minar/img109.jpg,2
../Image Data/Monuments/train/alai_minar/img135.jpg,2
../Image Data/Monuments/train/alai_minar/img146.jpg,2
../Image Data/Monuments/train/alai_minar/img69.jpg,0
../Image Data/Monuments/train/alai_minar/img41.jpg,2
../Image Data/Monuments/train/alai_minar/img55.jpg,1
../Image Data/Monuments/train/alai_minar/img82.jpg,1
../Image Data/Monuments/train/alai_minar/img225.jpg,0
../Image Data/Monuments/train/alai_minar/img97.jpg,1
../Image Data/Monuments/train/alai_minar/img83.jpg,2
../Image Data/Monuments/train/alai_minar/img54.jpg,0
../Image Data/Monuments/train/alai_minar/img40.jpg,2
../Image Data/Monuments/train/alai_minar/img68.jpg,2
../Image Data/Monuments/train/alai_minar/img56.jpg,2
../Image Data/Monuments/train/alai_minar/img42.jpg,1
../Image Data/Monuments/train/alai_minar/img81.jpg,2
../Image Data/Monuments/train/alai_minar/img80.jpg,2
../Image Data/Monuments/train/alai_minar/img94.jpg,1
../Image Data/Monuments/train/alai_minar/img57.jpg,2
../Image Data/Monuments/train/alai_minar/img150.jpg,1
../Image Data/Monuments/train/alai_minar/img178.jpg,0
../Image Data/Monuments/train/alai_minar/img193.jpg,2
../Image Data/Monuments/train/alai_minar/img187.jpg,2
../Image Data/Monuments/train/alai_minar/img183.jpg,1
../Image Data/Monuments/train/alai_minar/img53.jpg,1
../Image Data/Monuments/train/alai_minar/img47.jpg,1
../Image Data/Monuments/train/alai_minar/img90.jpg,0
../Image Data/Monuments/train/alai_minar/img84.jpg,2
../Image Data/Monuments/train/alai_minar/img85.jpg,1
