Image_Path,Cluster_Label
../Image Data/Monuments/train/basilica_of_bom_jesus/16 - Copy.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/21 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/43 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/5 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/48.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/8 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/30 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/49.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/29 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/35 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/8.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/24 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/13 - Copy.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/46 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/38 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/9.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/14.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/28.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/7 - Copy.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/23 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/14 - Copy.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/41 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/29.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/15.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/17.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/50 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/32 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/19 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/16.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/12.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/37 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/49 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/13.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/39.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/2 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/11.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/11 - Copy.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/26 - Copy.jpg,0
../Image Data/Monuments/train/basilica_of_bom_jesus/10.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/44 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/38.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/21.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/35.jpg,3
../Image Data/Monuments/train/basilica_of_bom_jesus/28 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/34 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/34.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/20.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/36.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/22.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/25 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/12 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/47 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/39 - Copy.jpg,2
../Image Data/Monuments/train/basilica_of_bom_jesus/1 - Copy.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/23.jpg,1
../Image Data/Monuments/train/basilica_of_bom_jesus/37.jpg,3
