Image_Path,Cluster_Label
../Image Data/Dance/train/bharatanatyam/176.jpg,3
../Image Data/Dance/train/bharatanatyam/177.jpg,2
../Image Data/Dance/train/bharatanatyam/163.jpg,3
../Image Data/Dance/train/bharatanatyam/149.jpg,3
../Image Data/Dance/train/bharatanatyam/161.jpg,1
../Image Data/Dance/train/bharatanatyam/160.jpg,3
../Image Data/Dance/train/bharatanatyam/174.jpg,2
../Image Data/Dance/train/bharatanatyam/148.jpg,2
../Image Data/Dance/train/bharatanatyam/164.jpg,3
../Image Data/Dance/train/bharatanatyam/158.jpg,0
../Image Data/Dance/train/bharatanatyam/159.jpg,0
../Image Data/Dance/train/bharatanatyam/165.jpg,2
../Image Data/Dance/train/bharatanatyam/167.jpg,3
../Image Data/Dance/train/bharatanatyam/172.jpg,3
../Image Data/Dance/train/bharatanatyam/166.jpg,1
../Image Data/Dance/train/bharatanatyam/115.jpg,3
../Image Data/Dance/train/bharatanatyam/116.jpg,0
../Image Data/Dance/train/bharatanatyam/117.jpg,0
../Image Data/Dance/train/bharatanatyam/113.jpg,1
../Image Data/Dance/train/bharatanatyam/139.jpg,3
../Image Data/Dance/train/bharatanatyam/120.jpg,3
../Image Data/Dance/train/bharatanatyam/134.jpg,3
../Image Data/Dance/train/bharatanatyam/135.jpg,2
../Image Data/Dance/train/bharatanatyam/121.jpg,3
../Image Data/Dance/train/bharatanatyam/137.jpg,0
../Image Data/Dance/train/bharatanatyam/123.jpg,1
../Image Data/Dance/train/bharatanatyam/122.jpg,1
../Image Data/Dance/train/bharatanatyam/136.jpg,0
../Image Data/Dance/train/bharatanatyam/126.jpg,3
../Image Data/Dance/train/bharatanatyam/127.jpg,3
../Image Data/Dance/train/bharatanatyam/133.jpg,1
../Image Data/Dance/train/bharatanatyam/131.jpg,3
../Image Data/Dance/train/bharatanatyam/118.jpg,3
../Image Data/Dance/train/bharatanatyam/130.jpg,1
../Image Data/Dance/train/bharatanatyam/124.jpg,0
../Image Data/Dance/train/bharatanatyam/143.jpg,2
../Image Data/Dance/train/bharatanatyam/156.jpg,3
../Image Data/Dance/train/bharatanatyam/142.jpg,0
../Image Data/Dance/train/bharatanatyam/168.jpg,3
../Image Data/Dance/train/bharatanatyam/154.jpg,3
../Image Data/Dance/train/bharatanatyam/140.jpg,3
../Image Data/Dance/train/bharatanatyam/141.jpg,3
../Image Data/Dance/train/bharatanatyam/155.jpg,1
../Image Data/Dance/train/bharatanatyam/169.jpg,2
../Image Data/Dance/train/bharatanatyam/151.jpg,1
../Image Data/Dance/train/bharatanatyam/144.jpg,2
../Image Data/Dance/train/bharatanatyam/153.jpg,3
