Image_Path,Cluster_Label
../Image Data/Monuments/train/charminar/(24).jpg,3
../Image Data/Monuments/train/charminar/(73).jpg,0
../Image Data/Monuments/train/charminar/(65).jpg,1
../Image Data/Monuments/train/charminar/(32).jpg,0
../Image Data/Monuments/train/charminar/(198).jpg,2
../Image Data/Monuments/train/charminar/(49).jpg,1
../Image Data/Monuments/train/charminar/(177).jpg,1
../Image Data/Monuments/train/charminar/(120).jpg,3
../Image Data/Monuments/train/charminar/(209).jpg,1
../Image Data/Monuments/train/charminar/(136).jpg,1
../Image Data/Monuments/train/charminar/(9).jpg,3
../Image Data/Monuments/train/charminar/(161).jpg,0
../Image Data/Monuments/train/charminar/(28).jpg,1
../Image Data/Monuments/train/charminar/(116).jpg,1
../Image Data/Monuments/train/charminar/(141).jpg,1
../Image Data/Monuments/train/charminar/(90).jpg,1
../Image Data/Monuments/train/charminar/(69).jpg,1
../Image Data/Monuments/train/charminar/(157).jpg,3
../Image Data/Monuments/train/charminar/(86).jpg,3
../Image Data/Monuments/train/charminar/(100).jpg,1
../Image Data/Monuments/train/charminar/(194).jpg,3
../Image Data/Monuments/train/charminar/(45).jpg,0
../Image Data/Monuments/train/charminar/(205).jpg,2
../Image Data/Monuments/train/charminar/(12).jpg,3
../Image Data/Monuments/train/charminar/(213).jpg,1
../Image Data/Monuments/train/charminar/(182).jpg,3
../Image Data/Monuments/train/charminar/(53).jpg,1
../Image Data/Monuments/train/charminar/(5).jpg,1
../Image Data/Monuments/train/charminar/(183).jpg,1
../Image Data/Monuments/train/charminar/(52).jpg,3
../Image Data/Monuments/train/charminar/(4).jpg,1
../Image Data/Monuments/train/charminar/(212).jpg,1
../Image Data/Monuments/train/charminar/(13).jpg,1
../Image Data/Monuments/train/charminar/(204).jpg,2
../Image Data/Monuments/train/charminar/(195).jpg,0
../Image Data/Monuments/train/charminar/(44).jpg,0
../Image Data/Monuments/train/charminar/(101).jpg,3
../Image Data/Monuments/train/charminar/(68).jpg,3
../Image Data/Monuments/train/charminar/(156).jpg,3
../Image Data/Monuments/train/charminar/(87).jpg,3
../Image Data/Monuments/train/charminar/(140).jpg,1
../Image Data/Monuments/train/charminar/(91).jpg,3
../Image Data/Monuments/train/charminar/(29).jpg,1
../Image Data/Monuments/train/charminar/(117).jpg,2
../Image Data/Monuments/train/charminar/(8).jpg,3
../Image Data/Monuments/train/charminar/(160).jpg,0
../Image Data/Monuments/train/charminar/(137).jpg,1
../Image Data/Monuments/train/charminar/(208).jpg,1
../Image Data/Monuments/train/charminar/(121).jpg,0
../Image Data/Monuments/train/charminar/(199).jpg,0
../Image Data/Monuments/train/charminar/(48).jpg,2
../Image Data/Monuments/train/charminar/(176).jpg,1
../Image Data/Monuments/train/charminar/(33).jpg,3
../Image Data/Monuments/train/charminar/(64).jpg,2
../Image Data/Monuments/train/charminar/(72).jpg,1
../Image Data/Monuments/train/charminar/(25).jpg,1
../Image Data/Monuments/train/charminar/(110).jpg,0
../Image Data/Monuments/train/charminar/(147).jpg,0
../Image Data/Monuments/train/charminar/(79).jpg,3
../Image Data/Monuments/train/charminar/(96).jpg,3
../Image Data/Monuments/train/charminar/(151).jpg,3
../Image Data/Monuments/train/charminar/(80).jpg,3
../Image Data/Monuments/train/charminar/(106).jpg,0
../Image Data/Monuments/train/charminar/(38).jpg,1
../Image Data/Monuments/train/charminar/(192).jpg,1
../Image Data/Monuments/train/charminar/(43).jpg,0
../Image Data/Monuments/train/charminar/(203).jpg,2
../Image Data/Monuments/train/charminar/(14).jpg,1
../Image Data/Monuments/train/charminar/(184).jpg,1
../Image Data/Monuments/train/charminar/(3).jpg,1
../Image Data/Monuments/train/charminar/(55).jpg,3
../Image Data/Monuments/train/charminar/(22).jpg,3
../Image Data/Monuments/train/charminar/(75).jpg,3
../Image Data/Monuments/train/charminar/(63).jpg,3
