Image_Path,Cluster_Label
../Image Data/Monuments/train/golden temple/63.jpg,0
../Image Data/Monuments/train/golden temple/77.jpg,0
../Image Data/Monuments/train/golden temple/images-30.jpeg,0
../Image Data/Monuments/train/golden temple/images-30 (1).jpeg,0
../Image Data/Monuments/train/golden temple/images-31 (1).jpeg,3
../Image Data/Monuments/train/golden temple/images-26.jpeg,1
../Image Data/Monuments/train/golden temple/kareenakapoor-1575337791 (1).jpg,3
../Image Data/Monuments/train/golden temple/images-47 (1).jpeg,2
../Image Data/Monuments/train/golden temple/images-46 (1).jpeg,3
../Image Data/Monuments/train/golden temple/images-2 (1).jpeg,2
../Image Data/Monuments/train/golden temple/images-3 (1).jpeg,1
../Image Data/Monuments/train/golden temple/76.jpg,3
../Image Data/Monuments/train/golden temple/62.jpg,1
../Image Data/Monuments/train/golden temple/74.jpg,1
../Image Data/Monuments/train/golden temple/60.jpg,2
../Image Data/Monuments/train/golden temple/48.jpg,1
../Image Data/Monuments/train/golden temple/images-3.jpeg,1
../Image Data/Monuments/train/golden temple/26.jpeg,1
../Image Data/Monuments/train/golden temple/images-51.jpeg,1
../Image Data/Monuments/train/golden temple/images-8 (1).jpeg,3
../Image Data/Monuments/train/golden temple/images-9 (1).jpeg,2
../Image Data/Monuments/train/golden temple/images-10.jpeg,2
../Image Data/Monuments/train/golden temple/30.jpeg,3
../Image Data/Monuments/train/golden temple/images-47.jpeg,2
../Image Data/Monuments/train/golden temple/49.jpg,1
../Image Data/Monuments/train/golden temple/61.jpg,2
../Image Data/Monuments/train/golden temple/75.jpg,2
../Image Data/Monuments/train/golden temple/59.jpg,3
../Image Data/Monuments/train/golden temple/images-46.jpeg,3
../Image Data/Monuments/train/golden temple/71.jpg,1
../Image Data/Monuments/train/golden temple/65.jpg,0
../Image Data/Monuments/train/golden temple/31.jpeg,2
../Image Data/Monuments/train/golden temple/images-11.jpeg,2
../Image Data/Monuments/train/golden temple/images-50.jpeg,1
../Image Data/Monuments/train/golden temple/images-27 (1).jpeg,3
../Image Data/Monuments/train/golden temple/27.jpeg,1
../Image Data/Monuments/train/golden temple/images-26 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images.jpeg,2
../Image Data/Monuments/train/golden temple/images-2.jpeg,2
../Image Data/Monuments/train/golden temple/images-50 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images-51 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images-19 (1).jpeg,2
../Image Data/Monuments/train/golden temple/images-18 (1).jpeg,3
../Image Data/Monuments/train/golden temple/64.jpg,3
../Image Data/Monuments/train/golden temple/70.jpg,3
../Image Data/Monuments/train/golden temple/58.jpg,0
../Image Data/Monuments/train/golden temple/8.jpg,1
../Image Data/Monuments/train/golden temple/66.jpg,0
../Image Data/Monuments/train/golden temple/72.jpg,3
../Image Data/Monuments/train/golden temple/images-13 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images-12 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images-27.jpeg,3
../Image Data/Monuments/train/golden temple/73.jpg,2
../Image Data/Monuments/train/golden temple/67.jpg,1
../Image Data/Monuments/train/golden temple/images-31.jpeg,3
../Image Data/Monuments/train/golden temple/9.jpg,0
../Image Data/Monuments/train/golden temple/14.jpg,1
../Image Data/Monuments/train/golden temple/28.jpg,1
../Image Data/Monuments/train/golden temple/images-5.jpeg,3
../Image Data/Monuments/train/golden temple/images-20 (1).jpeg,1
../Image Data/Monuments/train/golden temple/images-21 (1).jpeg,0
../Image Data/Monuments/train/golden temple/images (1).jpeg,2
../Image Data/Monuments/train/golden temple/images-16.jpeg,1
../Image Data/Monuments/train/golden temple/36.jpeg,3
../Image Data/Monuments/train/golden temple/images-41.jpeg,3
../Image Data/Monuments/train/golden temple/29.jpg,3
../Image Data/Monuments/train/golden temple/15.jpg,3
../Image Data/Monuments/train/golden temple/17.jpg,2
../Image Data/Monuments/train/golden temple/images-36.jpeg,1
../Image Data/Monuments/train/golden temple/41.jpeg,1
../Image Data/Monuments/train/golden temple/images-9.jpeg,2
