Image_Path,Cluster_Label
../Image Data/Monuments/train/hawa mahal pics/images-30.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-88.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/images-67.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-71.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-26.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/m (5).jpg,0
../Image Data/Monuments/train/hawa mahal pics/m (51).jpg,1
../Image Data/Monuments/train/hawa mahal pics/m (47).jpg,0
../Image Data/Monuments/train/hawa mahal pics/m (10).jpg,0
../Image Data/Monuments/train/hawa mahal pics/m (67).jpg,0
../Image Data/Monuments/train/hawa mahal pics/m (30).jpg,1
../Image Data/Monuments/train/hawa mahal pics/images-84.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-3.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/m (26).jpg,0
../Image Data/Monuments/train/hawa mahal pics/images-92.jpeg,2
../Image Data/Monuments/train/hawa mahal pics/m (71).jpg,1
../Image Data/Monuments/train/hawa mahal pics/m (9).jpg,3
../Image Data/Monuments/train/hawa mahal pics/images-51.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-106.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/images-110.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-10.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-47.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/images-46.jpeg,2
../Image Data/Monuments/train/hawa mahal pics/images-11.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-111.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/images-107.jpeg,0
../Image Data/Monuments/train/hawa mahal pics/images-50.jpeg,1
../Image Data/Monuments/train/hawa mahal pics/m (8).jpg,3
../Image Data/Monuments/train/hawa mahal pics/m (70).jpg,0
../Image Data/Monuments/train/hawa mahal pics/images-93.jpeg,2
../Image Data/Monuments/train/hawa mahal pics/images-2.jpeg,0
