Image_Path,Cluster_Label
../Image Data/Monuments/train/iron_pillar/img694.jpg,1
../Image Data/Monuments/train/iron_pillar/img680.jpg,0
../Image Data/Monuments/train/iron_pillar/img657.jpg,0
../Image Data/Monuments/train/iron_pillar/img643.jpg,2
../Image Data/Monuments/train/iron_pillar/img125.jpg,0
../Image Data/Monuments/train/iron_pillar/img333.jpg,0
../Image Data/Monuments/train/iron_pillar/img290.jpg,2
../Image Data/Monuments/train/iron_pillar/img247.jpg,2
../Image Data/Monuments/train/iron_pillar/img291.jpg,0
../Image Data/Monuments/train/iron_pillar/img326.jpg,0
../Image Data/Monuments/train/iron_pillar/img332.jpg,2
../Image Data/Monuments/train/iron_pillar/img642.jpg,0
../Image Data/Monuments/train/iron_pillar/img124.jpg,0
../Image Data/Monuments/train/iron_pillar/img130.jpg,0
../Image Data/Monuments/train/iron_pillar/img656.jpg,2
../Image Data/Monuments/train/iron_pillar/img118.jpg,0
../Image Data/Monuments/train/iron_pillar/img681.jpg,2
../Image Data/Monuments/train/iron_pillar/img695.jpg,1
../Image Data/Monuments/train/iron_pillar/img683.jpg,2
../Image Data/Monuments/train/iron_pillar/img697.jpg,0
../Image Data/Monuments/train/iron_pillar/img668.jpg,2
../Image Data/Monuments/train/iron_pillar/img126.jpg,1
../Image Data/Monuments/train/iron_pillar/img640.jpg,2
../Image Data/Monuments/train/iron_pillar/img654.jpg,2
../Image Data/Monuments/train/iron_pillar/img132.jpg,1
../Image Data/Monuments/train/iron_pillar/img318.jpg,0
../Image Data/Monuments/train/iron_pillar/img324.jpg,0
../Image Data/Monuments/train/iron_pillar/img330.jpg,2
../Image Data/Monuments/train/iron_pillar/img708.jpg,1
../Image Data/Monuments/train/iron_pillar/img709.jpg,2
../Image Data/Monuments/train/iron_pillar/img292.jpg,0
../Image Data/Monuments/train/iron_pillar/img331.jpg,1
../Image Data/Monuments/train/iron_pillar/img325.jpg,1
../Image Data/Monuments/train/iron_pillar/img319.jpg,0
../Image Data/Monuments/train/iron_pillar/img655.jpg,2
../Image Data/Monuments/train/iron_pillar/img127.jpg,2
../Image Data/Monuments/train/iron_pillar/img641.jpg,2
../Image Data/Monuments/train/iron_pillar/img669.jpg,2
../Image Data/Monuments/train/iron_pillar/img696.jpg,0
../Image Data/Monuments/train/iron_pillar/img682.jpg,1
../Image Data/Monuments/train/iron_pillar/img686.jpg,1
../Image Data/Monuments/train/iron_pillar/img692.jpg,2
../Image Data/Monuments/train/iron_pillar/img645.jpg,2
../Image Data/Monuments/train/iron_pillar/img123.jpg,0
../Image Data/Monuments/train/iron_pillar/img137.jpg,1
../Image Data/Monuments/train/iron_pillar/img651.jpg,2
../Image Data/Monuments/train/iron_pillar/img679.jpg,2
../Image Data/Monuments/train/iron_pillar/img321.jpg,2
../Image Data/Monuments/train/iron_pillar/img335.jpg,2
../Image Data/Monuments/train/iron_pillar/img296.jpg,0
../Image Data/Monuments/train/iron_pillar/img240.jpg,0
../Image Data/Monuments/train/iron_pillar/img320.jpg,1
../Image Data/Monuments/train/iron_pillar/img678.jpg,0
../Image Data/Monuments/train/iron_pillar/img136.jpg,0
../Image Data/Monuments/train/iron_pillar/img650.jpg,2
../Image Data/Monuments/train/iron_pillar/img644.jpg,2
../Image Data/Monuments/train/iron_pillar/img122.jpg,2
../Image Data/Monuments/train/iron_pillar/img199.jpeg,0
../Image Data/Monuments/train/iron_pillar/img693.jpg,2
../Image Data/Monuments/train/iron_pillar/img687.jpg,0
../Image Data/Monuments/train/iron_pillar/img691.jpg,1
../Image Data/Monuments/train/iron_pillar/img685.jpg,2
../Image Data/Monuments/train/iron_pillar/img652.jpg,2
../Image Data/Monuments/train/iron_pillar/img134.jpg,0
../Image Data/Monuments/train/iron_pillar/img120.jpg,2
../Image Data/Monuments/train/iron_pillar/img646.jpg,1
../Image Data/Monuments/train/iron_pillar/img336.jpg,0
../Image Data/Monuments/train/iron_pillar/img243.jpg,2
../Image Data/Monuments/train/iron_pillar/img323.jpg,2
../Image Data/Monuments/train/iron_pillar/img121.jpg,0
../Image Data/Monuments/train/iron_pillar/img647.jpg,2
../Image Data/Monuments/train/iron_pillar/img653.jpg,0
../Image Data/Monuments/train/iron_pillar/img135.jpg,1
../Image Data/Monuments/train/iron_pillar/img684.jpg,2
../Image Data/Monuments/train/iron_pillar/img690.jpg,1
../Image Data/Monuments/train/iron_pillar/img191.jpg,0
../Image Data/Monuments/train/iron_pillar/img608.jpg,2
../Image Data/Monuments/train/iron_pillar/img634.jpg,2
../Image Data/Monuments/train/iron_pillar/img152.jpg,0
../Image Data/Monuments/train/iron_pillar/img146.jpg,1
../Image Data/Monuments/train/iron_pillar/img620.jpg,1
../Image Data/Monuments/train/iron_pillar/img350.jpg,0
../Image Data/Monuments/train/iron_pillar/img218.jpg,0
../Image Data/Monuments/train/iron_pillar/img224.jpg,0
../Image Data/Monuments/train/iron_pillar/img219.jpg,2
../Image Data/Monuments/train/iron_pillar/img351.jpg,2
../Image Data/Monuments/train/iron_pillar/img274.jpeg,0
../Image Data/Monuments/train/iron_pillar/img147.jpg,0
../Image Data/Monuments/train/iron_pillar/img621.jpg,0
../Image Data/Monuments/train/iron_pillar/img635.jpg,1
../Image Data/Monuments/train/iron_pillar/img609.jpg,2
../Image Data/Monuments/train/iron_pillar/img186.jpg,0
../Image Data/Monuments/train/iron_pillar/img623.jpg,2
../Image Data/Monuments/train/iron_pillar/img145.jpg,1
../Image Data/Monuments/train/iron_pillar/img151.jpg,2
../Image Data/Monuments/train/iron_pillar/img637.jpg,1
../Image Data/Monuments/train/iron_pillar/img347.jpg,0
../Image Data/Monuments/train/iron_pillar/img353.jpg,0
../Image Data/Monuments/train/iron_pillar/img233.jpg,0
../Image Data/Monuments/train/iron_pillar/img227.jpg,0
../Image Data/Monuments/train/iron_pillar/img150.jpg,2
../Image Data/Monuments/train/iron_pillar/img636.jpg,1
../Image Data/Monuments/train/iron_pillar/img622.jpg,0
../Image Data/Monuments/train/iron_pillar/img144.jpg,2
../Image Data/Monuments/train/iron_pillar/img183.jpg,2
../Image Data/Monuments/train/iron_pillar/img197.jpg,0
../Image Data/Monuments/train/iron_pillar/img140.jpg,0
../Image Data/Monuments/train/iron_pillar/img626.jpg,1
../Image Data/Monuments/train/iron_pillar/img632.jpg,0
../Image Data/Monuments/train/iron_pillar/img154.jpg,2
../Image Data/Monuments/train/iron_pillar/img342.jpg,1
../Image Data/Monuments/train/iron_pillar/img223.jpg,1
../Image Data/Monuments/train/iron_pillar/img141.png,2
../Image Data/Monuments/train/iron_pillar/img633.jpg,2
../Image Data/Monuments/train/iron_pillar/img155.jpg,2
../Image Data/Monuments/train/iron_pillar/img627.jpg,2
../Image Data/Monuments/train/iron_pillar/img196.jpg,1
../Image Data/Monuments/train/iron_pillar/img357.png,2
../Image Data/Monuments/train/iron_pillar/img194.jpg,0
../Image Data/Monuments/train/iron_pillar/img631.jpg,1
../Image Data/Monuments/train/iron_pillar/img625.jpg,2
../Image Data/Monuments/train/iron_pillar/img143.jpg,0
../Image Data/Monuments/train/iron_pillar/img619.jpg,1
../Image Data/Monuments/train/iron_pillar/img355.jpg,2
