Image_Path,Cluster_Label
../Image Data/Monuments/train/jamali_kamali_tomb/img125.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img22.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img36.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img247.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img246.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img285.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img332.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img23.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img124.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img132.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img21.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img318.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img278.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img250.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img292.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img78.jpeg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img127.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img137.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img30.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img24.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img18.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img309.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img268.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img283.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img297.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img19.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img25.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img136.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img120.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img33.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img336.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img269.jpeg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img280.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img32.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img26.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img135.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img152.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img69.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img393.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img55.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img82.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img344.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img96.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img230.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img225.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img83.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img379.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img386.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img54.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img40.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img147.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img153.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img190.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img390.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img347.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img95.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img81.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img233.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img232.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img94.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img43.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img385.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img57.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img150.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img178.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img168.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img381.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img47.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img342.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img90.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img356.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img236.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img238.jpeg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img223.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img237.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img357.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img85.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img91.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img343.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img46.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img394.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img380.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img52.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img169.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img49.jpeg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img196.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img180.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img396.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img44.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img50.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img87.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img355.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img341.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img93.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img9.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img8.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img208.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img234.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img220.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img368.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img92.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img86.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img79.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img51.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img45.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img397.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img181.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img198.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img221.jpeg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img173.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img167.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img359.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img371.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img365.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img205.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img211.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img5.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img4.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img364.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img370.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img358.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img61.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img172.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img199.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img77.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img63.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img400.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img6.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img7.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img207.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img373.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img367.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img89.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img62.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img76.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img171.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img165.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img159.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img175.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img149.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img72.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img66.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img388.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img363.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img3.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img2.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img216.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img376.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img362.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img67.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img73.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img160.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img65.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img71.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img374.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img360.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img348.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img200.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img1.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img229.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img361.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img375.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img58.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img70.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img163.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img138.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img104.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img17.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img312.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img272.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img267.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img313.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img16.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img105.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img111.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img107.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img113.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img28.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img14.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img259.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img271.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img310.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img15.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img29.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img112.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img106.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img102.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img116.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img11.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img39.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img274.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img261.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img329.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img301.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img10.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img117.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img103.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img101.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img129.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img12.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img262.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img302.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img316.jpg,0
../Image Data/Monuments/train/jamali_kamali_tomb/img13.jpg,2
../Image Data/Monuments/train/jamali_kamali_tomb/img128.jpg,1
../Image Data/Monuments/train/jamali_kamali_tomb/img100.jpg,2
