Image_Path,Cluster_Label
../Image Data/Dance/train/kathak/63.jpg,0
../Image Data/Dance/train/kathak/62.jpg,0
../Image Data/Dance/train/kathak/60.jpg,3
../Image Data/Dance/train/kathak/49.jpg,0
../Image Data/Dance/train/kathak/65.jpg,3
../Image Data/Dance/train/kathak/58.jpg,0
../Image Data/Dance/train/kathak/8.jpg,2
../Image Data/Dance/train/kathak/66.jpg,0
../Image Data/Dance/train/kathak/29.jpg,2
../Image Data/Dance/train/kathak/15.jpg,1
../Image Data/Dance/train/kathak/16.jpg,0
../Image Data/Dance/train/kathak/12.jpg,1
../Image Data/Dance/train/kathak/39.jpg,0
../Image Data/Dance/train/kathak/10.jpg,3
../Image Data/Dance/train/kathak/21.jpg,0
../Image Data/Dance/train/kathak/36.jpg,0
../Image Data/Dance/train/kathak/22.jpg,0
../Image Data/Dance/train/kathak/37.jpg,0
../Image Data/Dance/train/kathak/27.jpg,2
../Image Data/Dance/train/kathak/26.jpg,0
../Image Data/Dance/train/kathak/32.jpg,3
../Image Data/Dance/train/kathak/18.jpg,0
../Image Data/Dance/train/kathak/24.jpg,0
../Image Data/Dance/train/kathak/30.jpg,3
../Image Data/Dance/train/kathak/31.jpg,0
../Image Data/Dance/train/kathak/25.jpg,1
../Image Data/Dance/train/kathak/19.jpg,2
../Image Data/Dance/train/kathak/42.jpg,2
../Image Data/Dance/train/kathak/4.jpg,2
../Image Data/Dance/train/kathak/56.jpg,2
../Image Data/Dance/train/kathak/5.jpg,2
../Image Data/Dance/train/kathak/43.jpg,2
../Image Data/Dance/train/kathak/7.jpg,3
../Image Data/Dance/train/kathak/54.jpg,1
../Image Data/Dance/train/kathak/2.jpg,0
../Image Data/Dance/train/kathak/50.jpg,2
../Image Data/Dance/train/kathak/44.jpg,2
../Image Data/Dance/train/kathak/3.jpg,3
../Image Data/Dance/train/kathak/51.jpg,0
../Image Data/Dance/train/kathak/47.jpg,3
../Image Data/Dance/train/kathak/53.jpg,0
../Image Data/Dance/train/kathak/1.jpg,2
../Image Data/Dance/train/kathak/52.jpg,1
../Image Data/Dance/train/kathak/46.jpg,0
