Image_Path,Cluster_Label
../Image Data/Dance/train/kathakali/228.jpg,0
../Image Data/Dance/train/kathakali/214.jpg,0
../Image Data/Dance/train/kathakali/201.jpg,0
../Image Data/Dance/train/kathakali/229.jpg,2
../Image Data/Dance/train/kathakali/188.jpg,1
../Image Data/Dance/train/kathakali/203.jpg,2
../Image Data/Dance/train/kathakali/212.jpg,1
../Image Data/Dance/train/kathakali/213.jpg,2
../Image Data/Dance/train/kathakali/207.jpg,2
../Image Data/Dance/train/kathakali/211.jpg,1
../Image Data/Dance/train/kathakali/205.jpg,0
../Image Data/Dance/train/kathakali/204.jpg,0
../Image Data/Dance/train/kathakali/199.jpg,2
../Image Data/Dance/train/kathakali/242.jpg,1
../Image Data/Dance/train/kathakali/243.jpg,1
../Image Data/Dance/train/kathakali/241.jpg,2
../Image Data/Dance/train/kathakali/240.jpg,0
../Image Data/Dance/train/kathakali/180.jpg,0
../Image Data/Dance/train/kathakali/209.jpg,2
../Image Data/Dance/train/kathakali/235.jpg,2
../Image Data/Dance/train/kathakali/221.jpg,1
../Image Data/Dance/train/kathakali/234.jpg,2
../Image Data/Dance/train/kathakali/208.jpg,0
../Image Data/Dance/train/kathakali/195.jpg,0
../Image Data/Dance/train/kathakali/181.jpg,1
../Image Data/Dance/train/kathakali/197.jpg,0
../Image Data/Dance/train/kathakali/222.jpg,2
../Image Data/Dance/train/kathakali/236.jpg,2
../Image Data/Dance/train/kathakali/237.jpg,0
../Image Data/Dance/train/kathakali/223.jpg,1
../Image Data/Dance/train/kathakali/182.jpg,2
../Image Data/Dance/train/kathakali/192.jpg,0
../Image Data/Dance/train/kathakali/186.jpg,0
../Image Data/Dance/train/kathakali/179.jpg,0
../Image Data/Dance/train/kathakali/227.jpg,1
../Image Data/Dance/train/kathakali/233.jpg,2
../Image Data/Dance/train/kathakali/178.jpg,0
../Image Data/Dance/train/kathakali/187.jpg,0
../Image Data/Dance/train/kathakali/185.jpg,2
../Image Data/Dance/train/kathakali/191.jpg,2
../Image Data/Dance/train/kathakali/230.jpg,0
../Image Data/Dance/train/kathakali/218.jpg,0
../Image Data/Dance/train/kathakali/219.jpg,1
../Image Data/Dance/train/kathakali/225.jpg,1
../Image Data/Dance/train/kathakali/231.jpg,2
../Image Data/Dance/train/kathakali/190.jpg,0
../Image Data/Dance/train/kathakali/184.jpg,0
