Image_Path,Cluster_Label
../Image Data/Dance/train/kuchipudi/406.jpg,2
../Image Data/Dance/train/kuchipudi/412.jpg,2
../Image Data/Dance/train/kuchipudi/413.jpg,0
../Image Data/Dance/train/kuchipudi/407.jpg,4
../Image Data/Dance/train/kuchipudi/388.jpg,0
../Image Data/Dance/train/kuchipudi/377.jpg,2
../Image Data/Dance/train/kuchipudi/405.jpg,0
../Image Data/Dance/train/kuchipudi/404.jpg,1
../Image Data/Dance/train/kuchipudi/376.jpg,3
../Image Data/Dance/train/kuchipudi/389.jpg,0
../Image Data/Dance/train/kuchipudi/399.jpg,3
../Image Data/Dance/train/kuchipudi/400.jpg,0
../Image Data/Dance/train/kuchipudi/428.jpg,4
../Image Data/Dance/train/kuchipudi/415.jpg,3
../Image Data/Dance/train/kuchipudi/403.jpg,3
../Image Data/Dance/train/kuchipudi/417.jpg,3
../Image Data/Dance/train/kuchipudi/402.jpg,0
../Image Data/Dance/train/kuchipudi/442.jpg,0
../Image Data/Dance/train/kuchipudi/443.jpg,4
../Image Data/Dance/train/kuchipudi/382.jpg,4
../Image Data/Dance/train/kuchipudi/396.jpg,3
../Image Data/Dance/train/kuchipudi/427.jpg,0
../Image Data/Dance/train/kuchipudi/433.jpg,4
../Image Data/Dance/train/kuchipudi/432.jpg,3
../Image Data/Dance/train/kuchipudi/426.jpg,4
../Image Data/Dance/train/kuchipudi/397.jpg,0
../Image Data/Dance/train/kuchipudi/383.jpg,1
../Image Data/Dance/train/kuchipudi/395.jpg,2
../Image Data/Dance/train/kuchipudi/381.jpg,4
../Image Data/Dance/train/kuchipudi/418.jpg,1
../Image Data/Dance/train/kuchipudi/430.jpg,4
../Image Data/Dance/train/kuchipudi/425.jpg,0
../Image Data/Dance/train/kuchipudi/419.jpg,0
../Image Data/Dance/train/kuchipudi/384.jpg,0
../Image Data/Dance/train/kuchipudi/435.jpg,3
../Image Data/Dance/train/kuchipudi/409.jpg,0
../Image Data/Dance/train/kuchipudi/408.jpg,4
../Image Data/Dance/train/kuchipudi/420.jpg,0
../Image Data/Dance/train/kuchipudi/434.jpg,0
../Image Data/Dance/train/kuchipudi/391.jpg,3
../Image Data/Dance/train/kuchipudi/387.jpg,0
../Image Data/Dance/train/kuchipudi/393.jpg,1
../Image Data/Dance/train/kuchipudi/422.jpg,1
../Image Data/Dance/train/kuchipudi/436.jpg,0
../Image Data/Dance/train/kuchipudi/379.jpg,3
../Image Data/Dance/train/kuchipudi/423.jpg,0
