Image_Path,Cluster_Label
../Image Data/Monuments/train/lotus_temple/8.jpg,1
../Image Data/Monuments/train/lotus_temple/9.jpg,2
../Image Data/Monuments/train/lotus_temple/14.jpg,1
../Image Data/Monuments/train/lotus_temple/15.jpg,1
../Image Data/Monuments/train/lotus_temple/17.jpg,0
../Image Data/Monuments/train/lotus_temple/16.jpg,0
../Image Data/Monuments/train/lotus_temple/12.jpg,0
../Image Data/Monuments/train/lotus_temple/13.jpg,2
../Image Data/Monuments/train/lotus_temple/11.jpg,0
../Image Data/Monuments/train/lotus_temple/10.jpg,0
../Image Data/Monuments/train/lotus_temple/21.jpg,0
../Image Data/Monuments/train/lotus_temple/20.jpg,2
../Image Data/Monuments/train/lotus_temple/22.jpg,1
../Image Data/Monuments/train/lotus_temple/23.jpg,0
../Image Data/Monuments/train/lotus_temple/18.jpg,2
../Image Data/Monuments/train/lotus_temple/19.jpg,0
../Image Data/Monuments/train/lotus_temple/4.jpg,0
../Image Data/Monuments/train/lotus_temple/5.jpg,0
../Image Data/Monuments/train/lotus_temple/7.jpg,1
../Image Data/Monuments/train/lotus_temple/6.jpg,0
../Image Data/Monuments/train/lotus_temple/2.jpg,1
../Image Data/Monuments/train/lotus_temple/3.jpg,1
../Image Data/Monuments/train/lotus_temple/1.jpg,0
