Image_Path,Cluster_Label
../Image Data/Dance/train/manipuri/77.jpg,0
../Image Data/Dance/train/manipuri/88.jpg,0
../Image Data/Dance/train/manipuri/89.jpg,1
../Image Data/Dance/train/manipuri/76.jpg,2
../Image Data/Dance/train/manipuri/74.jpg,2
../Image Data/Dance/train/manipuri/75.jpg,2
../Image Data/Dance/train/manipuri/70.jpg,2
../Image Data/Dance/train/manipuri/72.jpg,0
../Image Data/Dance/train/manipuri/99.jpg,2
../Image Data/Dance/train/manipuri/98.jpg,3
../Image Data/Dance/train/manipuri/73.jpg,2
../Image Data/Dance/train/manipuri/101.jpg,1
../Image Data/Dance/train/manipuri/100.jpg,1
../Image Data/Dance/train/manipuri/102.jpg,0
../Image Data/Dance/train/manipuri/103.jpg,1
../Image Data/Dance/train/manipuri/107.jpg,2
../Image Data/Dance/train/manipuri/106.jpg,2
../Image Data/Dance/train/manipuri/104.jpg,2
../Image Data/Dance/train/manipuri/111.jpg,2
../Image Data/Dance/train/manipuri/105.jpg,1
../Image Data/Dance/train/manipuri/109.jpg,0
../Image Data/Dance/train/manipuri/81.jpg,2
../Image Data/Dance/train/manipuri/94.jpg,1
../Image Data/Dance/train/manipuri/69.jpg,2
../Image Data/Dance/train/manipuri/96.jpg,2
../Image Data/Dance/train/manipuri/82.jpg,3
../Image Data/Dance/train/manipuri/83.jpg,2
../Image Data/Dance/train/manipuri/68.jpg,2
../Image Data/Dance/train/manipuri/78.jpg,2
../Image Data/Dance/train/manipuri/93.jpg,2
../Image Data/Dance/train/manipuri/87.jpg,2
../Image Data/Dance/train/manipuri/79.jpg,1
../Image Data/Dance/train/manipuri/84.jpg,3
../Image Data/Dance/train/manipuri/90.jpg,0
../Image Data/Dance/train/manipuri/91.jpg,3
../Image Data/Dance/train/manipuri/85.jpg,3
