Image_Path,Cluster_Label
../Image Data/Dance/train/mohiniyattam/303.jpg,2
../Image Data/Dance/train/mohiniyattam/288.jpg,1
../Image Data/Dance/train/mohiniyattam/277.jpg,1
../Image Data/Dance/train/mohiniyattam/263.jpg,3
../Image Data/Dance/train/mohiniyattam/262.jpg,2
../Image Data/Dance/train/mohiniyattam/276.jpg,0
../Image Data/Dance/train/mohiniyattam/289.jpg,1
../Image Data/Dance/train/mohiniyattam/300.jpg,2
../Image Data/Dance/train/mohiniyattam/248.jpg,2
../Image Data/Dance/train/mohiniyattam/260.jpg,0
../Image Data/Dance/train/mohiniyattam/274.jpg,3
../Image Data/Dance/train/mohiniyattam/261.jpg,0
../Image Data/Dance/train/mohiniyattam/249.jpg,3
../Image Data/Dance/train/mohiniyattam/311.jpg,1
../Image Data/Dance/train/mohiniyattam/305.jpg,2
../Image Data/Dance/train/mohiniyattam/265.jpg,1
../Image Data/Dance/train/mohiniyattam/259.jpg,1
../Image Data/Dance/train/mohiniyattam/258.jpg,1
../Image Data/Dance/train/mohiniyattam/304.jpg,0
../Image Data/Dance/train/mohiniyattam/310.jpg,0
../Image Data/Dance/train/mohiniyattam/312.jpg,2
../Image Data/Dance/train/mohiniyattam/299.jpg,1
../Image Data/Dance/train/mohiniyattam/272.jpg,1
../Image Data/Dance/train/mohiniyattam/266.jpg,2
../Image Data/Dance/train/mohiniyattam/267.jpg,0
../Image Data/Dance/train/mohiniyattam/273.jpg,1
../Image Data/Dance/train/mohiniyattam/298.jpg,0
../Image Data/Dance/train/mohiniyattam/307.jpg,2
../Image Data/Dance/train/mohiniyattam/295.jpg,0
../Image Data/Dance/train/mohiniyattam/281.jpg,2
../Image Data/Dance/train/mohiniyattam/257.jpg,1
../Image Data/Dance/train/mohiniyattam/294.jpg,0
../Image Data/Dance/train/mohiniyattam/309.jpg,1
../Image Data/Dance/train/mohiniyattam/282.jpg,2
../Image Data/Dance/train/mohiniyattam/296.jpg,2
../Image Data/Dance/train/mohiniyattam/255.jpg,0
../Image Data/Dance/train/mohiniyattam/254.jpg,0
../Image Data/Dance/train/mohiniyattam/268.jpg,2
../Image Data/Dance/train/mohiniyattam/297.jpg,1
../Image Data/Dance/train/mohiniyattam/308.jpg,3
../Image Data/Dance/train/mohiniyattam/287.jpg,2
../Image Data/Dance/train/mohiniyattam/293.jpg,0
../Image Data/Dance/train/mohiniyattam/244.jpg,3
../Image Data/Dance/train/mohiniyattam/250.jpg,3
../Image Data/Dance/train/mohiniyattam/279.jpg,2
../Image Data/Dance/train/mohiniyattam/251.jpg,2
../Image Data/Dance/train/mohiniyattam/245.jpg,3
../Image Data/Dance/train/mohiniyattam/253.jpg,2
../Image Data/Dance/train/mohiniyattam/247.jpg,0
../Image Data/Dance/train/mohiniyattam/252.jpg,1
