Image_Path,Cluster_Label
../Image Data/Monuments/train/mysore_palace/63.jpg,0
../Image Data/Monuments/train/mysore_palace/77.jpg,1
../Image Data/Monuments/train/mysore_palace/88.jpg,0
../Image Data/Monuments/train/mysore_palace/89.jpg,1
../Image Data/Monuments/train/mysore_palace/76.jpg,1
../Image Data/Monuments/train/mysore_palace/62.jpg,1
../Image Data/Monuments/train/mysore_palace/74.jpg,0
../Image Data/Monuments/train/mysore_palace/60.jpg,0
../Image Data/Monuments/train/mysore_palace/48.jpg,2
../Image Data/Monuments/train/mysore_palace/49.jpg,1
../Image Data/Monuments/train/mysore_palace/61.jpg,0
../Image Data/Monuments/train/mysore_palace/75.jpg,2
../Image Data/Monuments/train/mysore_palace/59.jpg,1
../Image Data/Monuments/train/mysore_palace/71.jpg,2
../Image Data/Monuments/train/mysore_palace/65.jpg,1
../Image Data/Monuments/train/mysore_palace/64.jpg,0
../Image Data/Monuments/train/mysore_palace/70.jpg,1
../Image Data/Monuments/train/mysore_palace/58.jpg,1
../Image Data/Monuments/train/mysore_palace/8.jpg,2
../Image Data/Monuments/train/mysore_palace/66.jpg,1
../Image Data/Monuments/train/mysore_palace/72.jpg,1
../Image Data/Monuments/train/mysore_palace/73.jpg,1
../Image Data/Monuments/train/mysore_palace/67.jpg,0
../Image Data/Monuments/train/mysore_palace/9.jpg,2
../Image Data/Monuments/train/mysore_palace/14.jpg,1
../Image Data/Monuments/train/mysore_palace/28.jpg,1
../Image Data/Monuments/train/mysore_palace/29.jpg,0
../Image Data/Monuments/train/mysore_palace/15.jpg,1
../Image Data/Monuments/train/mysore_palace/17.jpg,0
../Image Data/Monuments/train/mysore_palace/16.jpg,0
../Image Data/Monuments/train/mysore_palace/12.jpg,0
../Image Data/Monuments/train/mysore_palace/13.jpg,0
../Image Data/Monuments/train/mysore_palace/39.jpg,0
../Image Data/Monuments/train/mysore_palace/11.jpg,1
../Image Data/Monuments/train/mysore_palace/10.jpg,0
../Image Data/Monuments/train/mysore_palace/38.jpg,1
../Image Data/Monuments/train/mysore_palace/21.jpg,1
../Image Data/Monuments/train/mysore_palace/35.jpg,1
../Image Data/Monuments/train/mysore_palace/34.jpg,0
../Image Data/Monuments/train/mysore_palace/20.jpg,0
../Image Data/Monuments/train/mysore_palace/36.jpg,1
../Image Data/Monuments/train/mysore_palace/22.jpg,1
../Image Data/Monuments/train/mysore_palace/23.jpg,1
../Image Data/Monuments/train/mysore_palace/37.jpg,1
../Image Data/Monuments/train/mysore_palace/33.jpg,0
../Image Data/Monuments/train/mysore_palace/27.jpg,1
../Image Data/Monuments/train/mysore_palace/26.jpg,1
../Image Data/Monuments/train/mysore_palace/32.jpg,1
../Image Data/Monuments/train/mysore_palace/18.jpg,2
../Image Data/Monuments/train/mysore_palace/24.jpg,0
../Image Data/Monuments/train/mysore_palace/30.jpg,1
../Image Data/Monuments/train/mysore_palace/31.jpg,1
../Image Data/Monuments/train/mysore_palace/25.jpg,0
../Image Data/Monuments/train/mysore_palace/19.jpg,2
../Image Data/Monuments/train/mysore_palace/42.jpg,1
../Image Data/Monuments/train/mysore_palace/4.jpg,1
../Image Data/Monuments/train/mysore_palace/56.jpg,2
../Image Data/Monuments/train/mysore_palace/81.jpg,0
../Image Data/Monuments/train/mysore_palace/80.jpg,1
../Image Data/Monuments/train/mysore_palace/5.jpg,1
../Image Data/Monuments/train/mysore_palace/57.jpg,1
../Image Data/Monuments/train/mysore_palace/43.jpg,1
../Image Data/Monuments/train/mysore_palace/55.jpg,0
../Image Data/Monuments/train/mysore_palace/7.jpg,0
../Image Data/Monuments/train/mysore_palace/41.jpg,1
../Image Data/Monuments/train/mysore_palace/69.jpg,1
../Image Data/Monuments/train/mysore_palace/82.jpg,1
../Image Data/Monuments/train/mysore_palace/83.jpg,1
../Image Data/Monuments/train/mysore_palace/68.jpg,0
../Image Data/Monuments/train/mysore_palace/40.jpg,1
../Image Data/Monuments/train/mysore_palace/54.jpg,0
../Image Data/Monuments/train/mysore_palace/6.jpg,1
../Image Data/Monuments/train/mysore_palace/78.jpg,0
../Image Data/Monuments/train/mysore_palace/2.jpg,0
../Image Data/Monuments/train/mysore_palace/50.jpg,1
../Image Data/Monuments/train/mysore_palace/44.jpg,0
../Image Data/Monuments/train/mysore_palace/93.jpg,0
../Image Data/Monuments/train/mysore_palace/87.jpg,2
../Image Data/Monuments/train/mysore_palace/86.jpg,1
../Image Data/Monuments/train/mysore_palace/92.jpg,0
../Image Data/Monuments/train/mysore_palace/45.jpg,1
../Image Data/Monuments/train/mysore_palace/3.jpg,1
../Image Data/Monuments/train/mysore_palace/51.jpg,0
../Image Data/Monuments/train/mysore_palace/79.jpg,2
../Image Data/Monuments/train/mysore_palace/47.jpg,1
../Image Data/Monuments/train/mysore_palace/53.jpg,1
../Image Data/Monuments/train/mysore_palace/1.jpg,0
../Image Data/Monuments/train/mysore_palace/90.jpg,1
../Image Data/Monuments/train/mysore_palace/91.jpg,0
../Image Data/Monuments/train/mysore_palace/85.jpg,0
../Image Data/Monuments/train/mysore_palace/52.jpg,1
../Image Data/Monuments/train/mysore_palace/46.jpg,0
