Image_Path,Cluster_Label
../Image Data/Dance/train/odissi/459.jpg,3
../Image Data/Dance/train/odissi/471.jpg,0
../Image Data/Dance/train/odissi/511.jpg,3
../Image Data/Dance/train/odissi/504.jpg,3
../Image Data/Dance/train/odissi/464.jpg,2
../Image Data/Dance/train/odissi/499.jpg,2
../Image Data/Dance/train/odissi/472.jpg,0
../Image Data/Dance/train/odissi/466.jpg,2
../Image Data/Dance/train/odissi/512.jpg,3
../Image Data/Dance/train/odissi/513.jpg,3
../Image Data/Dance/train/odissi/488.jpg,2
../Image Data/Dance/train/odissi/477.jpg,0
../Image Data/Dance/train/odissi/503.jpg,0
../Image Data/Dance/train/odissi/516.jpg,0
../Image Data/Dance/train/odissi/502.jpg,3
../Image Data/Dance/train/odissi/462.jpg,3
../Image Data/Dance/train/odissi/476.jpg,2
../Image Data/Dance/train/odissi/489.jpg,3
../Image Data/Dance/train/odissi/474.jpg,0
../Image Data/Dance/train/odissi/500.jpg,0
../Image Data/Dance/train/odissi/501.jpg,3
../Image Data/Dance/train/odissi/515.jpg,0
../Image Data/Dance/train/odissi/449.jpg,3
../Image Data/Dance/train/odissi/475.jpg,0
../Image Data/Dance/train/odissi/493.jpg,0
../Image Data/Dance/train/odissi/478.jpg,0
../Image Data/Dance/train/odissi/444.jpg,3
../Image Data/Dance/train/odissi/450.jpg,0
../Image Data/Dance/train/odissi/519.jpg,1
../Image Data/Dance/train/odissi/451.jpg,3
../Image Data/Dance/train/odissi/445.jpg,3
../Image Data/Dance/train/odissi/492.jpg,2
../Image Data/Dance/train/odissi/486.jpg,0
../Image Data/Dance/train/odissi/490.jpg,3
../Image Data/Dance/train/odissi/453.jpg,3
../Image Data/Dance/train/odissi/446.jpg,1
../Image Data/Dance/train/odissi/452.jpg,2
../Image Data/Dance/train/odissi/491.jpg,0
../Image Data/Dance/train/odissi/481.jpg,1
../Image Data/Dance/train/odissi/480.jpg,1
../Image Data/Dance/train/odissi/494.jpg,3
../Image Data/Dance/train/odissi/496.jpg,3
../Image Data/Dance/train/odissi/455.jpg,3
../Image Data/Dance/train/odissi/469.jpg,0
../Image Data/Dance/train/odissi/509.jpg,3
../Image Data/Dance/train/odissi/468.jpg,3
../Image Data/Dance/train/odissi/454.jpg,3
../Image Data/Dance/train/odissi/497.jpg,0
../Image Data/Dance/train/odissi/483.jpg,0
