Image_Path,Cluster_Label
../Image Data/Paintings/training/pattachitra/p173.jpg,1
../Image Data/Paintings/training/pattachitra/p167.jpg,0
../Image Data/Paintings/training/pattachitra/p198.jpg,1
../Image Data/Paintings/training/pattachitra/p12.jpg,1
../Image Data/Paintings/training/pattachitra/p205.jpg,2
../Image Data/Paintings/training/pattachitra/p211.jpg,1
../Image Data/Paintings/training/pattachitra/p210.jpg,2
../Image Data/Paintings/training/pattachitra/p204.jpg,1
../Image Data/Paintings/training/pattachitra/p13.jpg,2
../Image Data/Paintings/training/pattachitra/p199.jpg,0
../Image Data/Paintings/training/pattachitra/p166.jpg,1
../Image Data/Paintings/training/pattachitra/p172.jpg,0
../Image Data/Paintings/training/pattachitra/p158.jpg,1
../Image Data/Paintings/training/pattachitra/p164.jpg,0
../Image Data/Paintings/training/pattachitra/p170.jpg,0
../Image Data/Paintings/training/pattachitra/p11.jpg,1
../Image Data/Paintings/training/pattachitra/p212.jpg,2
../Image Data/Paintings/training/pattachitra/p39.jpg,1
../Image Data/Paintings/training/pattachitra/p206.jpg,1
../Image Data/Paintings/training/pattachitra/p207.jpg,0
../Image Data/Paintings/training/pattachitra/p38.jpg,1
../Image Data/Paintings/training/pattachitra/p213.jpg,0
../Image Data/Paintings/training/pattachitra/p10.jpg,2
../Image Data/Paintings/training/pattachitra/p171.jpg,2
../Image Data/Paintings/training/pattachitra/p165.jpg,1
../Image Data/Paintings/training/pattachitra/p159.jpg,2
../Image Data/Paintings/training/pattachitra/p161.jpg,0
../Image Data/Paintings/training/pattachitra/p175.jpg,0
../Image Data/Paintings/training/pattachitra/p149.jpg,0
../Image Data/Paintings/training/pattachitra/p28.jpg,2
../Image Data/Paintings/training/pattachitra/p217.jpg,1
../Image Data/Paintings/training/pattachitra/p203.jpg,2
../Image Data/Paintings/training/pattachitra/p14.jpg,1
../Image Data/Paintings/training/pattachitra/p15.jpg,2
../Image Data/Paintings/training/pattachitra/p202.jpg,2
../Image Data/Paintings/training/pattachitra/p216.jpg,1
../Image Data/Paintings/training/pattachitra/p29.jpg,2
../Image Data/Paintings/training/pattachitra/p148.jpg,2
../Image Data/Paintings/training/pattachitra/p174.jpg,1
../Image Data/Paintings/training/pattachitra/p160.jpg,2
../Image Data/Paintings/training/pattachitra/p176.jpg,1
../Image Data/Paintings/training/pattachitra/p162.jpg,1
../Image Data/Paintings/training/pattachitra/p189.jpg,2
../Image Data/Paintings/training/pattachitra/p200.jpg,0
../Image Data/Paintings/training/pattachitra/p214.jpg,1
../Image Data/Paintings/training/pattachitra/p17.jpg,1
../Image Data/Paintings/training/pattachitra/p16.jpg,1
../Image Data/Paintings/training/pattachitra/p215.jpg,1
../Image Data/Paintings/training/pattachitra/p201.jpg,1
../Image Data/Paintings/training/pattachitra/p188.jpg,1
../Image Data/Paintings/training/pattachitra/p163.jpg,1
../Image Data/Paintings/training/pattachitra/p177.jpg,2
../Image Data/Paintings/training/pattachitra/p138.jpg,2
../Image Data/Paintings/training/pattachitra/p110.jpg,1
../Image Data/Paintings/training/pattachitra/p104.jpg,1
../Image Data/Paintings/training/pattachitra/p65.jpg,0
../Image Data/Paintings/training/pattachitra/p71.jpg,0
../Image Data/Paintings/training/pattachitra/p59.jpg,0
../Image Data/Paintings/training/pattachitra/p58.jpg,2
../Image Data/Paintings/training/pattachitra/p70.jpg,1
../Image Data/Paintings/training/pattachitra/p64.jpg,0
../Image Data/Paintings/training/pattachitra/p105.jpg,1
../Image Data/Paintings/training/pattachitra/p111.jpg,2
../Image Data/Paintings/training/pattachitra/p139.jpg,1
../Image Data/Paintings/training/pattachitra/p107.jpg,1
../Image Data/Paintings/training/pattachitra/p113.jpg,1
../Image Data/Paintings/training/pattachitra/p9.jpg,2
../Image Data/Paintings/training/pattachitra/p72.jpg,0
../Image Data/Paintings/training/pattachitra/p66.jpg,2
../Image Data/Paintings/training/pattachitra/p99.jpg,1
../Image Data/Paintings/training/pattachitra/p98.jpg,2
../Image Data/Paintings/training/pattachitra/p67.jpg,1
../Image Data/Paintings/training/pattachitra/p73.jpg,1
../Image Data/Paintings/training/pattachitra/p8.jpg,2
../Image Data/Paintings/training/pattachitra/p112.jpg,1
../Image Data/Paintings/training/pattachitra/p106.jpg,1
../Image Data/Paintings/training/pattachitra/p102.jpg,2
../Image Data/Paintings/training/pattachitra/p116.jpg,0
../Image Data/Paintings/training/pattachitra/p77.jpg,0
../Image Data/Paintings/training/pattachitra/p63.jpg,1
../Image Data/Paintings/training/pattachitra/p88.jpg,1
../Image Data/Paintings/training/pattachitra/p89.jpg,2
../Image Data/Paintings/training/pattachitra/p62.jpg,0
../Image Data/Paintings/training/pattachitra/p76.jpg,2
../Image Data/Paintings/training/pattachitra/p117.jpg,1
../Image Data/Paintings/training/pattachitra/p103.jpg,2
../Image Data/Paintings/training/pattachitra/p115.jpg,1
../Image Data/Paintings/training/pattachitra/p101.jpg,1
../Image Data/Paintings/training/pattachitra/p129.jpg,0
../Image Data/Paintings/training/pattachitra/p48.jpg,2
../Image Data/Paintings/training/pattachitra/p60.jpg,2
../Image Data/Paintings/training/pattachitra/p74.jpg,1
../Image Data/Paintings/training/pattachitra/p75.jpg,1
../Image Data/Paintings/training/pattachitra/p61.jpg,2
../Image Data/Paintings/training/pattachitra/p49.jpg,2
../Image Data/Paintings/training/pattachitra/p128.jpg,0
../Image Data/Paintings/training/pattachitra/p100.jpg,1
../Image Data/Paintings/training/pattachitra/p114.jpg,2
../Image Data/Paintings/training/pattachitra/p119.jpg,1
../Image Data/Paintings/training/pattachitra/p131.jpg,2
../Image Data/Paintings/training/pattachitra/p125.jpg,2
../Image Data/Paintings/training/pattachitra/p3.jpg,1
../Image Data/Paintings/training/pattachitra/p44.jpg,2
../Image Data/Paintings/training/pattachitra/p50.jpg,1
../Image Data/Paintings/training/pattachitra/p78.jpg,2
../Image Data/Paintings/training/pattachitra/p87.jpg,1
../Image Data/Paintings/training/pattachitra/p93.jpg,0
../Image Data/Paintings/training/pattachitra/p92.jpg,1
../Image Data/Paintings/training/pattachitra/p86.jpg,0
../Image Data/Paintings/training/pattachitra/p79.jpg,1
../Image Data/Paintings/training/pattachitra/p51.jpg,2
../Image Data/Paintings/training/pattachitra/p45.jpg,0
../Image Data/Paintings/training/pattachitra/p2.jpg,2
../Image Data/Paintings/training/pattachitra/p124.jpg,2
../Image Data/Paintings/training/pattachitra/p130.jpg,0
../Image Data/Paintings/training/pattachitra/p118.jpg,2
../Image Data/Paintings/training/pattachitra/p126.jpg,1
../Image Data/Paintings/training/pattachitra/p132.jpg,2
../Image Data/Paintings/training/pattachitra/p53.jpg,1
../Image Data/Paintings/training/pattachitra/p47.jpg,1
../Image Data/Paintings/training/pattachitra/p90.jpg,1
../Image Data/Paintings/training/pattachitra/p84.jpg,2
../Image Data/Paintings/training/pattachitra/p85.jpg,0
../Image Data/Paintings/training/pattachitra/p91.jpg,2
../Image Data/Paintings/training/pattachitra/p46.jpg,1
../Image Data/Paintings/training/pattachitra/p52.jpg,2
../Image Data/Paintings/training/pattachitra/p1.jpg,1
../Image Data/Paintings/training/pattachitra/p133.jpg,1
../Image Data/Paintings/training/pattachitra/p127.jpg,0
../Image Data/Paintings/training/pattachitra/p123.jpg,0
../Image Data/Paintings/training/pattachitra/p137.jpg,1
../Image Data/Paintings/training/pattachitra/p5.jpg,1
../Image Data/Paintings/training/pattachitra/p56.jpg,2
../Image Data/Paintings/training/pattachitra/p42.jpg,2
../Image Data/Paintings/training/pattachitra/p95.jpg,0
../Image Data/Paintings/training/pattachitra/p81.jpg,1
