Image_Path,Cluster_Label
../Image Data/Monuments/train/qutub_minar/img119.jpg,2
../Image Data/Monuments/train/qutub_minar/img131.jpg,2
../Image Data/Monuments/train/qutub_minar/img125.jpg,0
../Image Data/Monuments/train/qutub_minar/img22.jpg,2
../Image Data/Monuments/train/qutub_minar/img36.jpg,2
../Image Data/Monuments/train/qutub_minar/img455.jpg,2
../Image Data/Monuments/train/qutub_minar/img333.jpg,0
../Image Data/Monuments/train/qutub_minar/img327.jpg,0
../Image Data/Monuments/train/qutub_minar/img441.jpg,1
../Image Data/Monuments/train/qutub_minar/img290.jpg,0
../Image Data/Monuments/train/qutub_minar/img247.jpg,2
../Image Data/Monuments/train/qutub_minar/img253.jpg,2
../Image Data/Monuments/train/qutub_minar/img246.jpg,0
../Image Data/Monuments/train/qutub_minar/img326.jpg,0
../Image Data/Monuments/train/qutub_minar/img454.jpg,1
../Image Data/Monuments/train/qutub_minar/img332.jpg,0
../Image Data/Monuments/train/qutub_minar/img23.jpg,0
../Image Data/Monuments/train/qutub_minar/img124.jpg,2
../Image Data/Monuments/train/qutub_minar/img130.jpg,0
../Image Data/Monuments/train/qutub_minar/img440.png,2
../Image Data/Monuments/train/qutub_minar/img442.png,2
../Image Data/Monuments/train/qutub_minar/img126.jpg,2
../Image Data/Monuments/train/qutub_minar/img35.jpg,1
../Image Data/Monuments/train/qutub_minar/img21.jpg,1
../Image Data/Monuments/train/qutub_minar/img318.jpg,0
../Image Data/Monuments/train/qutub_minar/img324.jpg,2
../Image Data/Monuments/train/qutub_minar/img330.jpg,0
../Image Data/Monuments/train/qutub_minar/img136.jpeg,0
../Image Data/Monuments/train/qutub_minar/img278.jpg,0
../Image Data/Monuments/train/qutub_minar/img250.jpg,2
../Image Data/Monuments/train/qutub_minar/img244.jpg,1
../Image Data/Monuments/train/qutub_minar/img293.png,2
../Image Data/Monuments/train/qutub_minar/img245.jpg,0
../Image Data/Monuments/train/qutub_minar/img279.jpg,1
../Image Data/Monuments/train/qutub_minar/img292.jpg,2
../Image Data/Monuments/train/qutub_minar/img331.jpg,2
../Image Data/Monuments/train/qutub_minar/img443.jpg,2
../Image Data/Monuments/train/qutub_minar/img325.jpg,0
../Image Data/Monuments/train/qutub_minar/img319.jpg,0
../Image Data/Monuments/train/qutub_minar/img20.jpg,2
../Image Data/Monuments/train/qutub_minar/img480.jpg,2
../Image Data/Monuments/train/qutub_minar/img34.jpg,0
../Image Data/Monuments/train/qutub_minar/img133.jpg,2
../Image Data/Monuments/train/qutub_minar/img127.jpg,2
../Image Data/Monuments/train/qutub_minar/img123.jpg,0
