Image_Path,Cluster_Label
../Image Data/Dance/train/sattriya/348.jpg,1
../Image Data/Dance/train/sattriya/361.jpg,1
../Image Data/Dance/train/sattriya/362.jpg,0
../Image Data/Dance/train/sattriya/372.jpg,1
../Image Data/Dance/train/sattriya/367.jpg,1
../Image Data/Dance/train/sattriya/365.jpg,1
../Image Data/Dance/train/sattriya/371.jpg,2
../Image Data/Dance/train/sattriya/359.jpg,2
../Image Data/Dance/train/sattriya/370.jpg,1
../Image Data/Dance/train/sattriya/364.jpg,2
../Image Data/Dance/train/sattriya/328.jpg,2
../Image Data/Dance/train/sattriya/314.jpg,0
../Image Data/Dance/train/sattriya/315.jpg,0
../Image Data/Dance/train/sattriya/329.jpg,0
../Image Data/Dance/train/sattriya/339.jpg,1
../Image Data/Dance/train/sattriya/338.jpg,2
../Image Data/Dance/train/sattriya/313.jpg,0
../Image Data/Dance/train/sattriya/322.jpg,2
../Image Data/Dance/train/sattriya/336.jpg,1
../Image Data/Dance/train/sattriya/337.jpg,1
../Image Data/Dance/train/sattriya/335.jpg,2
../Image Data/Dance/train/sattriya/321.jpg,2
../Image Data/Dance/train/sattriya/320.jpg,1
../Image Data/Dance/train/sattriya/334.jpg,2
../Image Data/Dance/train/sattriya/319.jpg,1
../Image Data/Dance/train/sattriya/325.jpg,1
../Image Data/Dance/train/sattriya/331.jpg,1
../Image Data/Dance/train/sattriya/327.jpg,1
../Image Data/Dance/train/sattriya/333.jpg,0
../Image Data/Dance/train/sattriya/326.jpg,1
../Image Data/Dance/train/sattriya/369.jpg,1
../Image Data/Dance/train/sattriya/341.jpg,0
../Image Data/Dance/train/sattriya/355.jpg,1
../Image Data/Dance/train/sattriya/368.jpg,1
../Image Data/Dance/train/sattriya/356.jpg,1
../Image Data/Dance/train/sattriya/342.jpg,0
../Image Data/Dance/train/sattriya/343.jpg,1
../Image Data/Dance/train/sattriya/357.jpg,0
../Image Data/Dance/train/sattriya/353.jpg,0
../Image Data/Dance/train/sattriya/347.jpg,0
../Image Data/Dance/train/sattriya/352.jpg,2
../Image Data/Dance/train/sattriya/344.jpg,2
../Image Data/Dance/train/sattriya/350.jpg,1
../Image Data/Dance/train/sattriya/351.jpg,2
../Image Data/Dance/train/sattriya/345.jpg,1
