Image_Path,Cluster_Label
../Image Data/Monuments/train/tajmahal/63.jpg,2
../Image Data/Monuments/train/tajmahal/77.jpg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1215073358-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1228631880-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1228628267-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1306755173-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1155865652-612x612.jpeg,3
../Image Data/Monuments/train/tajmahal/gettyimages-1203701065-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/pexels-photo-9107730.jpeg,1
../Image Data/Monuments/train/tajmahal/76.jpg,2
../Image Data/Monuments/train/tajmahal/62.jpg,2
../Image Data/Monuments/train/tajmahal/74.jpg,0
../Image Data/Monuments/train/tajmahal/60.jpg,0
../Image Data/Monuments/train/tajmahal/48.jpg,3
../Image Data/Monuments/train/tajmahal/gettyimages-591407619-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-sb10068292y-001-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1236597409-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1126390363-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1228628598-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-469085358-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/49.jpg,2
../Image Data/Monuments/train/tajmahal/61.jpg,2
../Image Data/Monuments/train/tajmahal/75.jpg,1
../Image Data/Monuments/train/tajmahal/59.jpg,1
../Image Data/Monuments/train/tajmahal/71.jpg,2
../Image Data/Monuments/train/tajmahal/65.jpg,3
../Image Data/Monuments/train/tajmahal/gettyimages-72192796-612x612.jpeg,3
../Image Data/Monuments/train/tajmahal/gettyimages-477681832-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1228628226-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1205268526-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1155678065-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/64.jpg,1
../Image Data/Monuments/train/tajmahal/70.jpg,2
../Image Data/Monuments/train/tajmahal/58.jpg,2
../Image Data/Monuments/train/tajmahal/8.jpg,1
../Image Data/Monuments/train/tajmahal/66.jpg,2
../Image Data/Monuments/train/tajmahal/72.jpg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1206058640-612x612.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1228629151-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-539786533-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/pexels-photo-3733566.jpeg,1
../Image Data/Monuments/train/tajmahal/gettyimages-1155677865-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-509658462-612x612.jpeg,0
../Image Data/Monuments/train/tajmahal/73.jpg,0
../Image Data/Monuments/train/tajmahal/pexels-photo-5815809.jpeg,2
../Image Data/Monuments/train/tajmahal/67.jpg,2
../Image Data/Monuments/train/tajmahal/9.jpg,1
../Image Data/Monuments/train/tajmahal/14.jpg,0
../Image Data/Monuments/train/tajmahal/28.jpg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1206058728-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/pexels-photo-2387871.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1167932851-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/pexels-photo-9460632.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-74216537-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1314703406-612x612.jpeg,0
../Image Data/Monuments/train/tajmahal/gettyimages-1215073362-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1337877148-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-142573313-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-477035897-612x612.jpeg,3
../Image Data/Monuments/train/tajmahal/29.jpg,3
../Image Data/Monuments/train/tajmahal/pexels-photo-6752839.jpeg,0
../Image Data/Monuments/train/tajmahal/15.jpg,2
../Image Data/Monuments/train/tajmahal/17.jpg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1166395592-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/16.jpg,0
../Image Data/Monuments/train/tajmahal/gettyimages-521476592-612x612.jpeg,3
../Image Data/Monuments/train/tajmahal/12.jpg,1
../Image Data/Monuments/train/tajmahal/gettyimages-506229984-612x612.jpeg,0
../Image Data/Monuments/train/tajmahal/gettyimages-690396148-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-936994634-612x612.jpeg,0
../Image Data/Monuments/train/tajmahal/gettyimages-623586586-612x612.jpeg,2
../Image Data/Monuments/train/tajmahal/gettyimages-1297227796-612x612.jpeg,1
