Image_Path,Cluster_Label
../Image Data/Monuments/train/tanjavur temple/63.jpg,1
../Image Data/Monuments/train/tanjavur temple/77.jpg,0
../Image Data/Monuments/train/tanjavur temple/47.jpeg,0
../Image Data/Monuments/train/tanjavur temple/10.jpeg,3
../Image Data/Monuments/train/tanjavur temple/51.jpeg,0
../Image Data/Monuments/train/tanjavur temple/76.jpg,2
../Image Data/Monuments/train/tanjavur temple/62.jpg,1
../Image Data/Monuments/train/tanjavur temple/74.jpg,1
../Image Data/Monuments/train/tanjavur temple/60.jpg,0
../Image Data/Monuments/train/tanjavur temple/48.jpg,1
../Image Data/Monuments/train/tanjavur temple/26.jpeg,0
../Image Data/Monuments/train/tanjavur temple/30.jpeg,1
../Image Data/Monuments/train/tanjavur temple/49.jpg,0
../Image Data/Monuments/train/tanjavur temple/61.jpg,0
../Image Data/Monuments/train/tanjavur temple/75.jpg,0
../Image Data/Monuments/train/tanjavur temple/59.jpg,0
../Image Data/Monuments/train/tanjavur temple/71.jpg,1
../Image Data/Monuments/train/tanjavur temple/65.jpg,2
../Image Data/Monuments/train/tanjavur temple/31.jpeg,3
../Image Data/Monuments/train/tanjavur temple/27.jpeg,1
../Image Data/Monuments/train/tanjavur temple/64.jpg,0
../Image Data/Monuments/train/tanjavur temple/70.jpg,1
../Image Data/Monuments/train/tanjavur temple/58.jpg,2
../Image Data/Monuments/train/tanjavur temple/8.jpg,2
../Image Data/Monuments/train/tanjavur temple/66.jpg,0
../Image Data/Monuments/train/tanjavur temple/72.jpg,0
../Image Data/Monuments/train/tanjavur temple/1.jpeg,2
../Image Data/Monuments/train/tanjavur temple/50.jpeg,3
../Image Data/Monuments/train/tanjavur temple/11.jpeg,3
../Image Data/Monuments/train/tanjavur temple/73.jpg,1
../Image Data/Monuments/train/tanjavur temple/67.jpg,0
../Image Data/Monuments/train/tanjavur temple/9.jpg,1
../Image Data/Monuments/train/tanjavur temple/14.jpg,1
../Image Data/Monuments/train/tanjavur temple/28.jpg,1
../Image Data/Monuments/train/tanjavur temple/20.jpeg,2
../Image Data/Monuments/train/tanjavur temple/61.jpeg,1
../Image Data/Monuments/train/tanjavur temple/36.jpeg,0
../Image Data/Monuments/train/tanjavur temple/29.jpg,1
../Image Data/Monuments/train/tanjavur temple/15.jpg,0
../Image Data/Monuments/train/tanjavur temple/17.jpg,1
../Image Data/Monuments/train/tanjavur temple/41.jpeg,1
../Image Data/Monuments/train/tanjavur temple/16.jpeg,0
../Image Data/Monuments/train/tanjavur temple/57.jpeg,0
../Image Data/Monuments/train/tanjavur temple/6.jpeg,2
../Image Data/Monuments/train/tanjavur temple/16.jpg,1
../Image Data/Monuments/train/tanjavur temple/12.jpg,1
../Image Data/Monuments/train/tanjavur temple/7.jpeg,0
../Image Data/Monuments/train/tanjavur temple/56.jpeg,2
../Image Data/Monuments/train/tanjavur temple/17.jpeg,2
../Image Data/Monuments/train/tanjavur temple/40.jpeg,0
../Image Data/Monuments/train/tanjavur temple/13.jpg,2
../Image Data/Monuments/train/tanjavur temple/39.jpg,1
../Image Data/Monuments/train/tanjavur temple/11.jpg,2
../Image Data/Monuments/train/tanjavur temple/37.jpeg,0
../Image Data/Monuments/train/tanjavur temple/60.jpeg,0
../Image Data/Monuments/train/tanjavur temple/21.jpeg,0
../Image Data/Monuments/train/tanjavur temple/10.jpg,0
../Image Data/Monuments/train/tanjavur temple/38.jpg,0
../Image Data/Monuments/train/tanjavur temple/21.jpg,1
../Image Data/Monuments/train/tanjavur temple/35.jpg,0
../Image Data/Monuments/train/tanjavur temple/34.jpeg,0
../Image Data/Monuments/train/tanjavur temple/63.jpeg,3
../Image Data/Monuments/train/tanjavur temple/8.jpeg,2
../Image Data/Monuments/train/tanjavur temple/22.jpeg,0
../Image Data/Monuments/train/tanjavur temple/59.jpeg,1
../Image Data/Monuments/train/tanjavur temple/18.jpeg,1
../Image Data/Monuments/train/tanjavur temple/34.jpg,1
../Image Data/Monuments/train/tanjavur temple/20.jpg,1
../Image Data/Monuments/train/tanjavur temple/38.jpeg,2
../Image Data/Monuments/train/tanjavur temple/36.jpg,0
../Image Data/Monuments/train/tanjavur temple/22.jpg,2
../Image Data/Monuments/train/tanjavur temple/55.jpeg,1
../Image Data/Monuments/train/tanjavur temple/14.jpeg,1
../Image Data/Monuments/train/tanjavur temple/43.jpeg,2
../Image Data/Monuments/train/tanjavur temple/23.jpg,0
../Image Data/Monuments/train/tanjavur temple/37.jpg,1
../Image Data/Monuments/train/tanjavur temple/33.jpg,1
../Image Data/Monuments/train/tanjavur temple/27.jpg,0
../Image Data/Monuments/train/tanjavur temple/42.jpeg,2
../Image Data/Monuments/train/tanjavur temple/15.jpeg,0
../Image Data/Monuments/train/tanjavur temple/54.jpeg,0
../Image Data/Monuments/train/tanjavur temple/5.jpeg,3
../Image Data/Monuments/train/tanjavur temple/39.jpeg,3
../Image Data/Monuments/train/tanjavur temple/26.jpg,0
../Image Data/Monuments/train/tanjavur temple/32.jpg,0
../Image Data/Monuments/train/tanjavur temple/18.jpg,0
../Image Data/Monuments/train/tanjavur temple/24.jpg,0
../Image Data/Monuments/train/tanjavur temple/30.jpg,0
../Image Data/Monuments/train/tanjavur temple/19.jpeg,0
../Image Data/Monuments/train/tanjavur temple/58.jpeg,2
../Image Data/Monuments/train/tanjavur temple/23.jpeg,1
../Image Data/Monuments/train/tanjavur temple/62.jpeg,2
../Image Data/Monuments/train/tanjavur temple/9.jpeg,2
../Image Data/Monuments/train/tanjavur temple/35.jpeg,2
../Image Data/Monuments/train/tanjavur temple/31.jpg,0
../Image Data/Monuments/train/tanjavur temple/25.jpg,0
../Image Data/Monuments/train/tanjavur temple/19.jpg,0
../Image Data/Monuments/train/tanjavur temple/42.jpg,1
../Image Data/Monuments/train/tanjavur temple/4.jpg,0
../Image Data/Monuments/train/tanjavur temple/56.jpg,2
../Image Data/Monuments/train/tanjavur temple/2.jpeg,1
../Image Data/Monuments/train/tanjavur temple/28.jpeg,0
../Image Data/Monuments/train/tanjavur temple/53.jpeg,0
../Image Data/Monuments/train/tanjavur temple/12.jpeg,1
../Image Data/Monuments/train/tanjavur temple/80.jpg,1
../Image Data/Monuments/train/tanjavur temple/45.jpeg,0
../Image Data/Monuments/train/tanjavur temple/5.jpg,2
../Image Data/Monuments/train/tanjavur temple/57.jpg,2
../Image Data/Monuments/train/tanjavur temple/43.jpg,1
../Image Data/Monuments/train/tanjavur temple/55.jpg,0
../Image Data/Monuments/train/tanjavur temple/7.jpg,1
../Image Data/Monuments/train/tanjavur temple/41.jpg,0
../Image Data/Monuments/train/tanjavur temple/69.jpg,1
../Image Data/Monuments/train/tanjavur temple/32.jpeg,1
../Image Data/Monuments/train/tanjavur temple/24.jpeg,1
../Image Data/Monuments/train/tanjavur temple/68.jpg,1
../Image Data/Monuments/train/tanjavur temple/49.jpeg,3
../Image Data/Monuments/train/tanjavur temple/40.jpg,0
../Image Data/Monuments/train/tanjavur temple/54.jpg,2
