Image_Path,Cluster_Label
../Image Data/Monuments/train/victoria memorial/63.jpg,0
../Image Data/Monuments/train/victoria memorial/189.jpg,0
../Image Data/Monuments/train/victoria memorial/77.jpg,2
../Image Data/Monuments/train/victoria memorial/162.jpg,2
../Image Data/Monuments/train/victoria memorial/176.jpg,0
../Image Data/Monuments/train/victoria memorial/88.jpg,2
../Image Data/Monuments/train/victoria memorial/200.jpg,2
../Image Data/Monuments/train/victoria memorial/177.jpg,2
../Image Data/Monuments/train/victoria memorial/89.jpg,2
../Image Data/Monuments/train/victoria memorial/163.jpg,0
../Image Data/Monuments/train/victoria memorial/188.jpg,0
../Image Data/Monuments/train/victoria memorial/76.jpg,2
../Image Data/Monuments/train/victoria memorial/62.jpg,2
../Image Data/Monuments/train/victoria memorial/74.jpg,2
../Image Data/Monuments/train/victoria memorial/60.jpg,0
../Image Data/Monuments/train/victoria memorial/48.jpg,0
../Image Data/Monuments/train/victoria memorial/149.jpg,0
../Image Data/Monuments/train/victoria memorial/175.jpg,0
../Image Data/Monuments/train/victoria memorial/161.jpg,0
../Image Data/Monuments/train/victoria memorial/160.jpg,0
../Image Data/Monuments/train/victoria memorial/174.jpg,0
../Image Data/Monuments/train/victoria memorial/148.jpg,0
../Image Data/Monuments/train/victoria memorial/49.jpg,1
../Image Data/Monuments/train/victoria memorial/61.jpg,0
../Image Data/Monuments/train/victoria memorial/75.jpg,0
../Image Data/Monuments/train/victoria memorial/59.jpg,2
../Image Data/Monuments/train/victoria memorial/71.jpg,0
../Image Data/Monuments/train/victoria memorial/65.jpg,2
../Image Data/Monuments/train/victoria memorial/170.jpg,1
../Image Data/Monuments/train/victoria memorial/164.jpg,0
../Image Data/Monuments/train/victoria memorial/158.jpg,0
../Image Data/Monuments/train/victoria memorial/159.jpg,2
../Image Data/Monuments/train/victoria memorial/165.jpg,2
../Image Data/Monuments/train/victoria memorial/171.jpg,0
../Image Data/Monuments/train/victoria memorial/64.jpg,1
../Image Data/Monuments/train/victoria memorial/70.jpg,0
../Image Data/Monuments/train/victoria memorial/58.jpg,2
../Image Data/Monuments/train/victoria memorial/8.jpg,2
../Image Data/Monuments/train/victoria memorial/198.jpg,0
../Image Data/Monuments/train/victoria memorial/66.jpg,2
../Image Data/Monuments/train/victoria memorial/72.jpg,2
../Image Data/Monuments/train/victoria memorial/167.jpg,2
../Image Data/Monuments/train/victoria memorial/99.jpg,2
../Image Data/Monuments/train/victoria memorial/173.jpg,0
../Image Data/Monuments/train/victoria memorial/172.jpg,2
../Image Data/Monuments/train/victoria memorial/166.jpg,2
../Image Data/Monuments/train/victoria memorial/98.jpg,1
../Image Data/Monuments/train/victoria memorial/73.jpg,2
../Image Data/Monuments/train/victoria memorial/199.jpg,2
../Image Data/Monuments/train/victoria memorial/67.jpg,2
../Image Data/Monuments/train/victoria memorial/9.jpg,0
../Image Data/Monuments/train/victoria memorial/14.jpg,2
../Image Data/Monuments/train/victoria memorial/28.jpg,2
../Image Data/Monuments/train/victoria memorial/129.jpg,0
../Image Data/Monuments/train/victoria memorial/101.jpg,0
../Image Data/Monuments/train/victoria memorial/115.jpg,2
../Image Data/Monuments/train/victoria memorial/114.jpg,2
../Image Data/Monuments/train/victoria memorial/100.jpg,0
../Image Data/Monuments/train/victoria memorial/128.jpg,0
../Image Data/Monuments/train/victoria memorial/29.jpg,2
../Image Data/Monuments/train/victoria memorial/15.jpg,2
../Image Data/Monuments/train/victoria memorial/17.jpg,2
../Image Data/Monuments/train/victoria memorial/116.jpg,2
../Image Data/Monuments/train/victoria memorial/102.jpg,0
../Image Data/Monuments/train/victoria memorial/103.jpg,2
../Image Data/Monuments/train/victoria memorial/117.jpg,0
../Image Data/Monuments/train/victoria memorial/16.jpg,2
../Image Data/Monuments/train/victoria memorial/12.jpg,2
../Image Data/Monuments/train/victoria memorial/113.jpg,2
../Image Data/Monuments/train/victoria memorial/107.jpg,0
../Image Data/Monuments/train/victoria memorial/106.jpg,0
../Image Data/Monuments/train/victoria memorial/112.jpg,0
../Image Data/Monuments/train/victoria memorial/13.jpg,0
../Image Data/Monuments/train/victoria memorial/39.jpg,2
../Image Data/Monuments/train/victoria memorial/11.jpg,0
../Image Data/Monuments/train/victoria memorial/104.jpg,2
../Image Data/Monuments/train/victoria memorial/110.jpg,2
../Image Data/Monuments/train/victoria memorial/138.jpg,0
../Image Data/Monuments/train/victoria memorial/139.jpg,2
../Image Data/Monuments/train/victoria memorial/111.jpg,0
../Image Data/Monuments/train/victoria memorial/105.jpg,2
../Image Data/Monuments/train/victoria memorial/10.jpg,0
../Image Data/Monuments/train/victoria memorial/38.jpg,1
../Image Data/Monuments/train/victoria memorial/21.jpg,0
../Image Data/Monuments/train/victoria memorial/35.jpg,2
../Image Data/Monuments/train/victoria memorial/108.jpg,0
../Image Data/Monuments/train/victoria memorial/120.jpg,2
../Image Data/Monuments/train/victoria memorial/134.jpg,0
../Image Data/Monuments/train/victoria memorial/135.jpg,0
../Image Data/Monuments/train/victoria memorial/121.jpg,0
../Image Data/Monuments/train/victoria memorial/109.jpg,0
../Image Data/Monuments/train/victoria memorial/34.jpg,1
../Image Data/Monuments/train/victoria memorial/20.jpg,0
