Path,Class,Keyterms
'../Image Data/Paintings/training/Madhubani/p173.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p167.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p198.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p12.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p205.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p211.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p210.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p204.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p13.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p199.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p166.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p172.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p158.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p164.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p170.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p11.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p212.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p39.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p206.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p207.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p38.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p213.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p10.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p171.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p165.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p159.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p161.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p175.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p149.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p28.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p217.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p203.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p14.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p15.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p202.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p216.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p29.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p148.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p174.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p160.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p176.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p162.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p189.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p200.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p214.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p17.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p16.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p215.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p201.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p188.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p163.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p177.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p138.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p110.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
'../Image Data/Paintings/training/Madhubani/p104.jpg','Madhubani',"['art', 'painting', 'bihar', 'folk', 'traditional']"
