Image_Path,Cluster_Label
../Image Data/Monuments/alai_darwaza/img18TN.jpg,2
../Image Data/Monuments/alai_darwaza/img119TN.jpg,1
../Image Data/Monuments/alai_darwaza/img6TN.jpg,2
../Image Data/Monuments/alai_darwaza/img4TN.jpg,3
../Image Data/Monuments/alai_darwaza/img234TS.jpg,2
../Image Data/Monuments/alai_darwaza/img86TN.jpg,2
../Image Data/Monuments/alai_darwaza/img194TS.jpg,3
../Image Data/Monuments/alai_darwaza/img601TS.jpg,3
../Image Data/Monuments/alai_darwaza/img585TS.jpg,2
../Image Data/Monuments/alai_darwaza/img27TN.jpg,3
../Image Data/Monuments/alai_darwaza/img102TN.jpg,1
../Image Data/Monuments/alai_darwaza/img605TS.jpg,3
../Image Data/Monuments/alai_darwaza/img106TN.jpg,5
../Image Data/Monuments/alai_darwaza/img445TS.jpg,2
../Image Data/Monuments/alai_darwaza/img122TN.jpg,2
../Image Data/Monuments/alai_darwaza/img167TN.jpg,3
../Image Data/Monuments/alai_darwaza/img42TN.jpg,2
../Image Data/Monuments/alai_darwaza/img230TS.jpg,3
../Image Data/Monuments/alai_darwaza/img158TN.jpg,2
../Image Data/Monuments/alai_darwaza/img80TN.jpg,1
../Image Data/Monuments/alai_darwaza/img232TS.jpg,2
../Image Data/Monuments/alai_darwaza/img2TN.jpg,3
../Image Data/Monuments/alai_darwaza/img165TN.jpg,1
../Image Data/Monuments/alai_darwaza/img141TN.jpg,1
../Image Data/Monuments/alai_darwaza/img583TS.jpg,0
../Image Data/Monuments/alai_darwaza/img21TN.jpg,1
../Image Data/Monuments/alai_darwaza/img99TN.jpg,2
../Image Data/Monuments/alai_darwaza/img293TS.jpg,1
../Image Data/Monuments/alai_darwaza/img5TN.jpg,1
../Image Data/Monuments/alai_darwaza/img127TN.jpg,1
../Image Data/Monuments/alai_darwaza/img26TN.jpg,3
../Image Data/Monuments/alai_darwaza/img254TS.jpg,2
../Image Data/Monuments/alai_darwaza/img269TS.jpg,2
../Image Data/Monuments/alai_darwaza/img195TS.jpg,3
../Image Data/Monuments/alai_darwaza/img19TN.jpg,2
../Image Data/Monuments/alai_darwaza/img256TS.jpg,2
../Image Data/Monuments/alai_darwaza/img101TN.jpg,1
../Image Data/Monuments/alai_darwaza/img24TN.jpg,3
../Image Data/Monuments/alai_darwaza/img61TN.jpg,1
../Image Data/Monuments/alai_darwaza/img125TN.jpg,0
../Image Data/Monuments/alai_darwaza/img7TN.jpg,2
../Image Data/Monuments/alai_darwaza/img57TN.jpeg,2
../Image Data/Monuments/alai_darwaza/img3TN.jpg,3
../Image Data/Monuments/alai_darwaza/img121TN.jpg,3
../Image Data/Monuments/alai_darwaza/img39TN.jpg,3
../Image Data/Monuments/alai_darwaza/img566TS.jpg,2
../Image Data/Monuments/alai_darwaza/img20TN.jpg,4
../Image Data/Monuments/alai_darwaza/img22TN.jpg,2
../Image Data/Monuments/alai_darwaza/img580TS.jpg,3
../Image Data/Monuments/alai_darwaza/img107TN.jpg,4
../Image Data/Monuments/alai_darwaza/img335TS.jpg,2
../Image Data/Monuments/alai_darwaza/img228TS.jpg,3
../Image Data/Monuments/alai_darwaza/img175TS.jpg,3
../Image Data/Monuments/alai_darwaza/img43TN.jpg,4
../Image Data/Monuments/alai_darwaza/img1TN.jpg,3
../Image Data/Monuments/alai_darwaza/img37TN.jpg,3
../Image Data/Monuments/alai_darwaza/img381TS.jpg,2
../Image Data/Monuments/alai_darwaza/img56TN.jpg,3
../Image Data/Monuments/alai_darwaza/img13TN.jpg,3
../Image Data/Monuments/alai_darwaza/img109TN.jpg,3
../Image Data/Monuments/alai_darwaza/img226TS.jpg,3
../Image Data/Monuments/alai_darwaza/img11TN.jpg,3
../Image Data/Monuments/alai_darwaza/img110TN.jpg,1
../Image Data/Monuments/alai_darwaza/img35TN.jpg,4
../Image Data/Monuments/alai_darwaza/img287TS.jpg,1
../Image Data/Monuments/alai_darwaza/img613TS.jpg,2
../Image Data/Monuments/alai_darwaza/img89TN.jpg,1
../Image Data/Monuments/alai_darwaza/img151TN.jpg,2
../Image Data/Monuments/alai_darwaza/img593TS.jpg,4
../Image Data/Monuments/alai_darwaza/img31TN.jpg,1
../Image Data/Monuments/alai_darwaza/img28TN.jpg,1
../Image Data/Monuments/alai_darwaza/img130TN.jpg,1
../Image Data/Monuments/alai_darwaza/img220TS.jpg,1
../Image Data/Monuments/alai_darwaza/img52TN.jpg,2
../Image Data/Monuments/alai_darwaza/img92TN.jpg,2
../Image Data/Monuments/alai_darwaza/img9TN.jpg,2
