Class,Term,Data
Tanjore,temple,"Synonyms: temple; Hypernyms: place_of_worship; Hyponyms: joss_house, pagoda, pantheon; Examples: the veins in his temple throbbed; Synonyms: temple; Hypernyms: feature; Synonyms: temple; Hypernyms: building; Hyponyms: ziggurat; Synonyms: synagogue, temple, tabernacle; Hypernyms: place_of_worship"
Tanjore,art,"Examples: an art exhibition, a fine collection of art; Synonyms: art, fine_art; Hypernyms: creation; Hyponyms: artificial_flower, commercial_art, cyberart, dance, decoupage, diptych, gem, genre, graphic_art, grotesque, kitsch, mosaic, plastic_art, triptych, work_of_art; Examples: art does not need to be innovative to be good, I was never any good at art, he said that architecture is the art of wasting space beautifully; Synonyms: art, artistic_creation, artistic_production; Hypernyms: creation; Hyponyms: arts_and_crafts, ceramics, decalcomania, decoupage, drawing, gastronomy, glyptography, origami, painting, perfumery, printmaking, sculpture, topiary; Examples: the art of conversation, it's quite an art; Synonyms: art, artistry, prowess; Hypernyms: superior_skill; Hyponyms: aviation, enology, eristic, falconry, fortification, homiletics, horology, minstrelsy, musicianship, puppetry, taxidermy, telescopy, ventriloquism; Examples: the publisher was responsible for all the artwork in the book; Synonyms: artwork, art, graphics, nontextual_matter; Hypernyms: visual_communication; Hyponyms: drawing, illustration"
Tanjore,culture,"Examples: early Mayan civilization; Synonyms: culture, civilization, civilisation; Hypernyms: society; Hyponyms: Aegean_civilization, Helladic_civilization, Indus_civilization, Minoan_civilization, Mycenaean_civilization, Paleo-American_culture, Western_culture; Synonyms: culture; Hypernyms: taste; Hyponyms: counterculture, letters, mass_culture; Synonyms: acculturation, culture; Hypernyms: content; Hyponyms: meme; Examples: the culture of cells in a Petri dish; Synonyms: culture; Hypernyms: growth; Hyponyms: starter; Examples: they performed with great polish, I admired the exquisite refinement of his prose, almost an inspiration which gives to all work that finish which is almost art; Synonyms: polish, refinement, culture, cultivation, finish; Hypernyms: perfection; Examples: the developing drug culture, the reason that the agency is doomed to inaction has something to do with the FBI culture; Synonyms: culture; Hypernyms: attitude; Hyponyms: cyberculture, Kalashnikov_culture, mosaic_culture; Examples: the culture of oysters; Synonyms: culture; Hypernyms: cultivation; Hyponyms: cranberry_culture, monoculture, tillage, viticulture; Examples: the biologist grows microorganisms; Synonyms: culture; Hypernyms: grow"
Tanjore,South India,No information available in WordNet.
Tanjore,painting,"Examples: a small painting by Picasso, he bought the painting as an investment, his pictures hang in the Louvre; Synonyms: painting, picture; Hypernyms: graphic_art; Hyponyms: abstraction, cityscape, daub, distemper, finger-painting, icon, landscape, miniature, monochrome, mural, nude, oil_painting, pentimento, sand_painting, seascape, semi-abstraction, still_life, tanka, trompe_l'oeil, watercolor; Examples: he studied painting and sculpture for many years; Synonyms: painting; Hypernyms: art, fine_arts; Hyponyms: distemper, fresco, impasto, oil_painting, watercolor; Examples: you can finish the job of painting faster with a roller than with a brush; Synonyms: painting; Hypernyms: application; Hyponyms: finger-painting, spatter, spray_painting; Examples: house painting was the only craft he knew; Synonyms: painting, house_painting; Hypernyms: trade; Examples: he painted all day in the garden, He painted a painting of the garden; Synonyms: paint; Hypernyms: create; Hyponyms: bodypaint, charge, distemper, finger-paint, fresco, shade, stipple, stipple, watercolour; Examples: We painted the rooms yellow; Synonyms: paint; Hypernyms: coat; Hyponyms: airbrush, grain, prime, repaint; Examples: He painted his mistress many times; Synonyms: paint; Hypernyms: represent; Hyponyms: repaint; Synonyms: paint; Hypernyms: cover"
lotus_temple,architecture,"Synonyms: architecture; Hypernyms: building; Examples: architecture and eloquence are mixed arts whose end is sometimes beauty and sometimes use; Synonyms: architecture; Hypernyms: discipline, fine_arts; Hyponyms: interior_design, landscape_architecture, urban_planning; Synonyms: architecture; Hypernyms: profession; Examples: the architecture of a computer's system software; Synonyms: computer_architecture, architecture; Hypernyms: structure; Hyponyms: complex_instruction_set_computing, reduced_instruction_set_computing"
lotus_temple,delhi,"Synonyms: Delhi, Old_Delhi"
lotus_temple,bahai,"Synonyms: Bahai; Hypernyms: disciple, teacher; Synonyms: Bahai"
lotus_temple,worship,"Synonyms: worship; Hypernyms: activity; Hyponyms: adoration, ancestor_worship, arborolatry, astrolatry, cosmolatry, deification, diabolatry, hagiolatry, heliolatry, idiolatry, idolatry, idolatry, idolization, monolatry, moon-worship, praise, prayer, pyrolatry, salat, zoolatry; Synonyms: worship, adoration; Hypernyms: love; Examples: Many teenagers idolized the Beatles; Synonyms: idolize, idolise, worship, hero-worship, revere; Hypernyms: adore; Hyponyms: drool_over; Examples: Many Hindus worship Shiva; Synonyms: worship; Hypernyms: reverence; Examples: They worship in the traditional manner; Synonyms: worship; Hypernyms: attend; Hyponyms: offer"
lotus_temple,modern,"Synonyms: modern; Hypernyms: person; Synonyms: modern, modern_font, Bodoni, Bodoni_font; Hypernyms: proportional_font; Examples: modern art, modern furniture, modern history, totem poles are modern rather than prehistoric; Synonyms: modern; Examples: their offices are in a modern skyscraper, tables in modernistic designs; Synonyms: mod, modern, modernistic; Synonyms: modern; Examples: the advanced teaching methods, had advanced views on the subject, a forward-looking corporation, is British industry innovative enough?; Synonyms: advanced, forward-looking, innovative, modern; Examples: Modern English, New Hebrew is Israeli Hebrew; Synonyms: Modern, New"
manipuri,dance,"Synonyms: dance; Hypernyms: art; Hyponyms: choreography, extension; Synonyms: dance; Hypernyms: party; Hyponyms: ball; Synonyms: dancing, dance, terpsichore, saltation; Hypernyms: diversion, performing_arts; Hyponyms: adagio, break_dancing, courante, mambo, nautch, pas_de_deux, pas_de_quatre, pas_de_trois, pas_seul, pavane, phrase, ritual_dancing, saraband, skank, slam_dancing, social_dancing, stage_dancing, step_dancing, toe_dancing; Synonyms: dance; Hypernyms: party; Hyponyms: ball, barn_dance, hop, rave; Examples: The young girl danced into the room; Synonyms: dance; Hypernyms: move; Hyponyms: capriole, chasse, glissade; Examples: My husband and I like to dance at home to the radio; Synonyms: dance, trip_the_light_fantastic, trip_the_light_fantastic_toe; Hypernyms: move; Hyponyms: belly_dance, boogie, bop, break_dance, bump, cakewalk, cha-cha, Charleston, clog, conga, contradance, disco, folk_dance, foxtrot, grind, heel, hoof, jig, jitterbug, jive, kick, mambo, one-step, polka, quickstep, rhumba, samba, shag, shimmy, skank, slam_dance, square_dance, tango, tap_dance, tapdance, twist, two-step, waltz; Examples: Dancing flames, The children danced with joy; Synonyms: dance; Hypernyms: move"
manipuri,northeast,"Synonyms: northeast, nor'-east, northeastward, NE; Hypernyms: compass_point; Synonyms: Northeast, northeastern_United_States; Synonyms: northeast; Hypernyms: direction; Synonyms: northeast; Hypernyms: location; Examples: the northeasterly part of the island; Synonyms: northeastern, northeasterly, northeast; Examples: northeasterly winds; Synonyms: northeasterly, northeast; Synonyms: northeast, north-east, nor'-east"
manipuri,manipur,Synonyms: Manipur
manipuri,traditional,"Examples: traditional history, traditional morality; Synonyms: traditional; Examples: the simple security of traditional assumptions has vanished; Synonyms: traditional"
manipuri,culture,"Examples: early Mayan civilization; Synonyms: culture, civilization, civilisation; Hypernyms: society; Hyponyms: Aegean_civilization, Helladic_civilization, Indus_civilization, Minoan_civilization, Mycenaean_civilization, Paleo-American_culture, Western_culture; Synonyms: culture; Hypernyms: taste; Hyponyms: counterculture, letters, mass_culture; Synonyms: acculturation, culture; Hypernyms: content; Hyponyms: meme; Examples: the culture of cells in a Petri dish; Synonyms: culture; Hypernyms: growth; Hyponyms: starter; Examples: they performed with great polish, I admired the exquisite refinement of his prose, almost an inspiration which gives to all work that finish which is almost art; Synonyms: polish, refinement, culture, cultivation, finish; Hypernyms: perfection; Examples: the developing drug culture, the reason that the agency is doomed to inaction has something to do with the FBI culture; Synonyms: culture; Hypernyms: attitude; Hyponyms: cyberculture, Kalashnikov_culture, mosaic_culture; Examples: the culture of oysters; Synonyms: culture; Hypernyms: cultivation; Hyponyms: cranberry_culture, monoculture, tillage, viticulture; Examples: the biologist grows microorganisms; Synonyms: culture; Hypernyms: grow"
pattachitra,art,"Examples: an art exhibition, a fine collection of art; Synonyms: art, fine_art; Hypernyms: creation; Hyponyms: artificial_flower, commercial_art, cyberart, dance, decoupage, diptych, gem, genre, graphic_art, grotesque, kitsch, mosaic, plastic_art, triptych, work_of_art; Examples: art does not need to be innovative to be good, I was never any good at art, he said that architecture is the art of wasting space beautifully; Synonyms: art, artistic_creation, artistic_production; Hypernyms: creation; Hyponyms: arts_and_crafts, ceramics, decalcomania, decoupage, drawing, gastronomy, glyptography, origami, painting, perfumery, printmaking, sculpture, topiary; Examples: the art of conversation, it's quite an art; Synonyms: art, artistry, prowess; Hypernyms: superior_skill; Hyponyms: aviation, enology, eristic, falconry, fortification, homiletics, horology, minstrelsy, musicianship, puppetry, taxidermy, telescopy, ventriloquism; Examples: the publisher was responsible for all the artwork in the book; Synonyms: artwork, art, graphics, nontextual_matter; Hypernyms: visual_communication; Hyponyms: drawing, illustration"
